mu_g,Tgran,seed,mu,a_c,a_n,a_t,f_mean,cv_f,pr_f,ncon,chi,P
0.05,0.0005,1,0.35074852372988646,0.37923329558912144,0.3213566659925331,0.0009070816703726352,10.615474937414229,0.7565907712144908,0.6377350713703805,6890.85,0.11411053148177353,10.0
0.05,0.0005,2,0.28284105229748807,0.2314696784332952,0.3341370026598251,7.542647190657483e-05,11.549936079891435,0.7306750132713822,0.6532670801737119,7417.05,0.09149714775125478,10.0
0.05,0.0015,1,0.14594574612609998,0.11174518118698681,0.17769065072449886,0.0024556643814786327,9.27463469420777,0.6972101661524408,0.6729127883305751,8031.25,0.11643977656476334,10.0
0.05,0.0015,2,0.14439355084531083,0.10814233359773348,0.17797977777469243,0.0026649879974011345,9.34168602724433,0.6922617153465522,0.676034297635976,8019.75,0.11539764411129669,10.0
0.05,0.001,1,0.1523256929531286,0.11787279294977016,0.18362704255707252,0.003151547367541127,9.267120353101163,0.6964453858395472,0.6733975631833042,8021.75,0.10647943656246912,10.0
0.05,0.001,2,0.15187848355626946,0.11419916876174419,0.18652975999370752,0.003028036360831728,9.291394748563748,0.6992950338703221,0.6715976595730381,7995.5,0.10579552162400216,10.0
0.05,0.003,1,0.13239647197589616,0.10511931919076767,0.15794466632733925,0.0017289588505439528,9.241614556325679,0.6852258678694928,0.6804948795426885,8051.85,0.14237476575024097,10.0
0.05,0.003,2,0.13707986442436393,0.10403146578910831,0.16860712721057589,0.0015211370819792147,9.20529452499941,0.6897947240278305,0.677600284189192,8040.3,0.1442811115700004,10.0
0.05,0.005,1,0.12079335621420924,0.09464336704184695,0.14580893054605942,0.001134417244955004,9.233029355438031,0.6866905307475167,0.6795669214251607,8073.95,0.1710748225587346,10.0
0.05,0.005,2,0.128972771147924,0.10046828364924987,0.15631817062973227,0.0011590872996480924,9.14347495979489,0.685793795432354,0.680136777180974,8081.65,0.17209257222149194,10.0
0.05,0.008,1,0.11934700578573165,0.09423356232697895,0.1437222186126257,0.0007382308612602335,9.165457230604211,0.6863132844677409,0.6798101415626966,8074.3,0.2065561078011465,10.0
0.05,0.008,2,0.12279787003716185,0.09365971886036886,0.15107457581508474,0.0008614412331164834,9.193385115281247,0.6835998750669117,0.6815260891700519,8059.3,0.20518031258606836,10.0
0.05,0.013,1,0.11268477948938656,0.09083401694049338,0.13405495647745472,0.00048058955131859073,9.222482948423874,0.6797849196042468,0.6839515738382453,8025.05,0.24995248864100345,10.0
0.05,0.013,2,0.11305997563044712,0.09376961111373677,0.13186912437868686,0.00048121464221470106,9.262844677815801,0.6790108985808002,0.68444620088893,8013.85,0.24737352469305232,10.0
0.05,0.02,1,0.10829365896231571,0.09249849469522156,0.12371069820077474,0.0003781224480027721,9.333058462146083,0.6819155826610107,0.682598358360209,7942.75,0.28546184066968444,10.0
0.05,0.02,2,0.1129902553098711,0.0924476890740131,0.13319550976144007,0.0003373123665289828,9.310436157065606,0.6781343648170817,0.6850025476779632,7963.95,0.28552853744170564,10.0
0.05,0.03,1,0.10325196519278554,0.08855499413157517,0.11762169647248899,0.00032724329800259673,9.414243429321886,0.6802433926800029,0.6836609129699134,7868.4,0.32639312970049866,10.0
0.05,0.03,2,0.10181832490012446,0.08943006272368133,0.11375725498729942,0.00044933180194610644,9.42701050655993,0.6805374077510675,0.6834717049989589,7855.55,0.32382913398234925,10.0
0.15,0.0005,1,0.572432855982423,0.7487563171516507,0.38900183768242486,0.007107559092089258,6.809324669879779,0.8607819131467759,0.5747591866395639,5223.666666666667,0.07615257114604106,10.0
0.15,0.0005,2,0.2025169744924315,0.08300670310362565,0.3234837657700188,-0.0014565204052987837,14.256670914884733,0.676473122482516,0.6861374769752404,8063.95,0.015690372702655712,10.0
0.15,0.0015,1,0.21987331813713484,0.1619936839261497,0.26047787957975077,0.017275071586524922,9.91300313344417,0.7370694123382509,0.6479865765681829,7556.8,0.05082627794033258,10.0
0.15,0.0015,2,0.2208120324600193,0.17344172384556544,0.24914161943495294,0.0190407244736279,10.020945474666963,0.7268879067155891,0.6543070535242208,7554.6,0.050621428645782465,10.0
0.15,0.001,1,0.22434192722784854,0.17210895078058414,0.2567228597859578,0.019852043761231307,9.97046580114521,0.7385886841815064,0.6470525222539563,7511.05,0.051806105012482985,10.0
0.15,0.001,2,0.22090528314946586,0.1656438425202164,0.2567159179831311,0.019450806090757035,9.965383940295515,0.731139488998047,0.6516612559372772,7495.35,0.05293950323346193,10.0
0.15,0.003,1,0.21053636423372363,0.15737773411095846,0.24935785711231823,0.014337135661666334,9.798687974433047,0.7322128718488573,0.6509997907206826,7620.9,0.056651978153539596,10.0
