mu_g,Tgran,seed,Theta,mu,mu_t,A_c,A_n,chi,f_mean,cv_f,pr_f,ncon
0.05,0.0005,1,0.00018904998910778442,0.3934114382841073,0.0010476653359242992,0.05418685932782813,0.07660106483599971,0.41493981345861275,5.690792111194282,0.8428987048852644,0.5853480670525008,11366.6
0.05,0.0005,2,0.0001958953877245509,0.3544850713829166,0.0007375609573823889,0.0413496895124419,0.0765661495245453,0.4068382137037517,6.704939537436445,0.8012847931004276,0.6099947709165222,11864.7
0.05,0.0015,1,5.977700688622754e-05,0.25640343241964186,0.0025950678232232113,0.03604874452088859,0.048554043219015366,0.1807724702635805,8.121204958760154,0.7844280501389184,0.6190754684245474,12252.8
0.05,0.0015,2,5.788036832934131e-05,0.2503929374795337,0.002663843579105999,0.03558154600837253,0.04699481872838369,0.17844077573244052,8.092116214406683,0.7794110893653907,0.6221014994936159,12261.4
0.05,0.001,1,4.139684645508981e-05,0.2682310047434882,0.003464786408203977,0.03716642270263876,0.0510889836861555,0.16212399321376358,8.200119262324453,0.7860968378053188,0.6180955784500479,12176.4
0.05,0.001,2,4.21774428263473e-05,0.27084562001242446,0.0033663026976346903,0.037086938417179506,0.05207283389689753,0.16331556221040613,8.141137248333266,0.7905598360742635,0.6154055387702717,12190.5
0.05,0.003,1,0.00011530779401197605,0.22319475246469075,0.0012713232012068173,0.03245928576079342,0.04151519158841539,0.2309470344227808,8.01880970899154,0.7728724059733189,0.6260576286622613,12388.7
0.05,0.003,2,0.00011604862517964072,0.22961817790353328,0.0013313634253134823,0.03331795224520485,0.04277765275955586,0.2325124369328586,8.008842496336797,0.7766419257191639,0.623768738221604,12389.9
0.05,0.005,1,0.00019201961802395206,0.20640473677891538,0.0007466475909566313,0.03028782125535804,0.038264874346024845,0.28219170212784495,7.979275130728065,0.7657775818970955,0.6303629698724649,12454.9
0.05,0.005,2,0.00019566267059880244,0.20618585284518529,0.0007239239452070765,0.030134575192457914,0.03835273361550322,0.28422658100381026,7.985755931945308,0.7639078469927517,0.6314954457297577,12440.1
0.05,0.008,1,0.00033386873413173654,0.2060178507973785,0.0004265037959447658,0.029430720088568552,0.03909972857668259,0.3405907085810508,7.884710956839214,0.7672194562786204,0.6294863014402188,12460.9
0.05,0.008,2,0.0003331744508383233,0.1950340784446031,0.0006081139570861644,0.028434617973596192,0.036374036043620814,0.34176320837527074,7.866294745579947,0.7638393712503082,0.6315437023527866,12451.2
0.05,0.013,1,0.0005848562969161677,0.19110736934059847,0.0003526028709165922,0.02836570076563641,0.03521922187559167,0.40293949142674573,7.903621086278375,0.750647617562303,0.6396090380526033,12406.2
