label,mu_g,Tgran,seed,Emod,tau_frames,tau_median,s_slip,s_slip_lw,n_episodes,R_E
mu0.05_T0.001_s1,0.05,0.001,1,100000.0,61.02339843381451,81.0,0.225191166865514,0.09868782149301084,10599,0.0005545979891812916
mu0.05_T0.001_s2,0.05,0.001,2,100000.0,62.963682268401634,81.0,0.22279753386673606,0.113826341764343,10298,0.000660907501517541
mu0.05_T0.001_s3,0.05,0.001,3,100000.0,61.43032319391635,81.0,0.22469343213442397,0.1017149789476779,10520,0.0005986073775069764
mu0.05_T0.003_s1,0.05,0.003,1,100000.0,54.26269920318725,81.0,0.2995421158467457,0.14306997860061155,12048,0.0005531355328729048
mu0.05_T0.003_s2,0.05,0.003,2,100000.0,55.13366461719868,81.0,0.29261001512726287,0.1396008567037681,11873,0.0005613640586751788
mu0.05_T0.003_s3,0.05,0.003,3,100000.0,52.605696304663546,81.0,0.3115667405799542,0.14391061281144793,12394,0.0005707487986866011
mu0.05_T0.008_s1,0.05,0.008,1,100000.0,43.29143765313555,45.0,0.3938356077214577,0.20617550600846815,15101,0.0007050679104483701
mu0.05_T0.008_s2,0.05,0.008,2,100000.0,43.75993288590604,52.0,0.3897752595242984,0.20516760911808327,14900,0.0006946674062733025
mu0.05_T0.008_s3,0.05,0.008,3,100000.0,44.67966459881382,67.0,0.38645645255040295,0.20483639148863453,14669,0.0007026342413138798
mu0.0_T0.001_s1,0.0,0.001,1,100000.0,56.168930891907856,81.0,1.0,1.0,11851,0.0
mu0.0_T0.001_s2,0.0,0.001,2,100000.0,55.24168330006653,81.0,1.0,1.0,12024,0.0
mu0.0_T0.001_s3,0.0,0.001,3,100000.0,57.07143468217983,81.0,1.0,1.0,11689,0.0
mu0.0_T0.003_s1,0.0,0.003,1,100000.0,46.21635661635661,70.0,1.0,1.0,14245,0.0
mu0.0_T0.003_s2,0.0,0.003,2,100000.0,45.18912041812805,56.0,1.0,1.0,14541,0.0
mu0.0_T0.003_s3,0.0,0.003,3,100000.0,46.65752555516391,79.0,1.0,1.0,14185,0.0
mu0.0_T0.008_s1,0.0,0.008,1,100000.0,35.02492195069437,13.0,1.0,1.0,18578,0.0
mu0.0_T0.008_s2,0.0,0.008,2,100000.0,34.32196026490066,12.0,1.0,1.0,18875,0.0
mu0.0_T0.008_s3,0.0,0.008,3,100000.0,34.807373321204985,13.0,1.0,1.0,18689,0.0
mu0.15_T0.001_s1,0.15,0.001,1,100000.0,56.65045078888054,81.0,0.16458378942789356,0.04995407931513526,10648,0.005156401561510105
mu0.15_T0.001_s2,0.15,0.001,2,100000.0,55.529498661250116,81.0,0.1704607671487723,0.05576782388933227,10831,0.0054861000819107246
mu0.15_T0.001_s3,0.15,0.001,3,100000.0,55.94928345430858,81.0,0.1637030254565929,0.05273680166192362,10746,0.004877742032093701
mu0.15_T0.003_s1,0.15,0.003,1,100000.0,51.29872722735213,81.0,0.18596248699756254,0.05468635978866867,12021,0.004022667644874548
mu0.15_T0.003_s2,0.15,0.003,2,100000.0,51.32312867956266,81.0,0.19056625012166428,0.05653915232239542,11890,0.004230553692764944
mu0.15_T0.003_s3,0.15,0.003,3,100000.0,48.770376301040834,81.0,0.19991772507957956,0.05899445449501101,12490,0.004182079065227897
mu0.15_T0.008_s1,0.15,0.008,1,100000.0,42.0343087790111,33.0,0.24605546785408294,0.0796523910120991,14865,0.0035068032679203887
mu0.15_T0.008_s2,0.15,0.008,2,100000.0,43.30219857162862,52.0,0.24170087578887567,0.08104397825503443,14282,0.00371825215558236
mu0.15_T0.008_s3,0.15,0.008,3,100000.0,42.2127413652434,33.0,0.24363591767069998,0.07870471036376668,14708,0.00347899850756986
mu0.1_T0.001_s1,0.1,0.001,1,100000.0,60.29041887337506,81.0,0.17206351023437058,0.06409355454899732,10385,0.0024158107541724892
mu0.1_T0.001_s2,0.1,0.001,2,100000.0,59.31549833094898,81.0,0.17793714046252374,0.06728646472312488,10485,0.0024677170296871975
mu0.1_T0.001_s3,0.1,0.001,3,100000.0,58.83206322325713,81.0,0.17686255889620917,0.06357483936378786,10629,0.002409502007641605
mu0.1_T0.003_s1,0.1,0.003,1,100000.0,51.81578515111695,81.0,0.23028266397543548,0.08107666874303585,12176,0.0020282618532849375
mu0.1_T0.003_s2,0.1,0.003,2,100000.0,54.97154225413026,81.0,0.2141746787966333,0.07683871312896719,11561,0.0020228358925311924
mu0.1_T0.003_s3,0.1,0.003,3,100000.0,54.741194751381215,81.0,0.21352998912031232,0.07574409971582756,11584,0.0019411314603976504
mu0.1_T0.008_s1,0.1,0.008,1,100000.0,44.94729434944761,72.0,0.28324545041621174,0.11649231462897615,14211,0.001997738392988439
mu0.1_T0.008_s2,0.1,0.008,2,100000.0,42.99303959994594,43.5,0.28857965541639613,0.11471194305034021,14798,0.0018728385413290208
mu0.1_T0.008_s3,0.1,0.008,3,100000.0,43.255399823955585,49.0,0.2913282488114784,0.11461573260242408,14769,0.0018447517210997523
mu0.2_T0.001_s1,0.2,0.001,1,100000.0,53.853095875242225,81.0,0.1539552645461094,0.04606703837863216,10837,0.00876089916895331
mu0.2_T0.001_s2,0.2,0.001,2,100000.0,52.5650406504065,81.0,0.15786945784564307,0.04571271449316457,11070,0.008552430791278192
mu0.2_T0.001_s3,0.2,0.001,3,100000.0,53.694865164388624,81.0,0.15257260682791643,0.04577680389674721,10828,0.008923800932231227
mu0.2_T0.003_s1,0.2,0.003,1,100000.0,49.010164767603904,81.0,0.17439631539863062,0.04615513276186494,12199,0.007576954031360708
mu0.2_T0.003_s2,0.2,0.003,2,100000.0,48.47921243186071,81.0,0.17610750823620638,0.045040932571183065,12291,0.007464544437200678
mu0.2_T0.003_s3,0.2,0.003,3,100000.0,47.128199033357106,81.0,0.18243987334149947,0.04761896756079723,12621,0.007404122627172567
mu0.2_T0.008_s1,0.2,0.008,1,100000.0,40.36813442252773,18.0,0.21684185886295848,0.062129929272172986,15057,0.0058640347362897355
mu0.2_T0.008_s2,0.2,0.008,2,100000.0,41.57425607425608,27.0,0.213415820250282,0.060914788901182966,14652,0.00617228776647415
mu0.2_T0.008_s3,0.2,0.008,3,100000.0,42.955768418087054,44.0,0.20656156567392195,0.0596964022784586,14198,0.0058208654160483535
mu0.3_T0.001_s1,0.3,0.001,1,100000.0,48.87173585907763,81.0,0.1352347920230716,0.03535022387086491,11297,0.016091048756387633
mu0.3_T0.001_s2,0.3,0.001,2,100000.0,50.4038356662425,81.0,0.1320821619864732,0.035299336570834,11002,0.01582144223001626
mu0.3_T0.001_s3,0.3,0.001,3,100000.0,49.667972227167525,81.0,0.1343997883029702,0.035152427549868276,11234,0.01551497249480961
mu0.3_T0.003_s1,0.3,0.003,1,100000.0,44.167891198999534,81.0,0.15196470139167556,0.035102745786467146,12794,0.01382653503917041
mu0.3_T0.003_s2,0.3,0.003,2,100000.0,45.670761078998076,81.0,0.1506920177493955,0.034736980883322346,12456,0.014163632257365796
mu0.3_T0.003_s3,0.3,0.003,3,100000.0,42.037614066325396,33.0,0.16115695625272788,0.03643679682329583,13479,0.014205920299222354
mu0.3_T0.008_s1,0.3,0.008,1,100000.0,36.43970736629667,10.0,0.18283171274173782,0.04489362880502883,15856,0.011645010600867074
mu0.3_T0.008_s2,0.3,0.008,2,100000.0,38.58871448440294,13.0,0.17506182012262123,0.044067546438605616,15099,0.011990993953439708
mu0.3_T0.008_s3,0.3,0.008,3,100000.0,36.96940847930947,10.0,0.1882050877648973,0.04515098971656166,15756,0.011721904486691503
mu0.5_T0.001_s1,0.5,0.001,1,100000.0,45.0743392557235,81.0,0.10303945453173322,0.021650200225130704,11313,0.027191320205914204
mu0.5_T0.001_s2,0.5,0.001,2,100000.0,46.329918032786885,81.0,0.09910891696341509,0.021103562067433707,11224,0.030855119778342446
mu0.5_T0.001_s3,0.5,0.001,3,100000.0,44.824822009317046,81.0,0.1057175023457031,0.02334049712533237,11377,0.029594619963713573
mu0.5_T0.003_s1,0.5,0.003,1,100000.0,38.052742616033754,10.0,0.12558600271319062,0.024640920101018406,13746,0.02613877660769453
mu0.5_T0.003_s2,0.5,0.003,2,100000.0,37.44168681553122,9.0,0.12339259034529385,0.023407185116950457,14062,0.02749092175298933
mu0.5_T0.003_s3,0.5,0.003,3,100000.0,37.59246649764578,9.0,0.12073104905847999,0.023618208584795863,13805,0.027328874562703737
mu0.5_T0.008_s1,0.5,0.008,1,100000.0,30.011108592155974,5.0,0.1466972919954638,0.030722395546121363,17644,0.021842481320264708
mu0.5_T0.008_s2,0.5,0.008,2,100000.0,32.82957908086237,6.0,0.14358849168017096,0.028955621982064843,16559,0.024200580335938172
mu0.5_T0.008_s3,0.5,0.008,3,100000.0,31.665647957684396,6.0,0.14354750310849373,0.02957733146990206,17015,0.022863037780159787
mu1.0_T0.001_s1,1.0,0.001,1,100000.0,44.55999627352338,75.5,0.056115156599238644,0.010976214021538469,10734,0.05396535170746259
mu1.0_T0.001_s2,1.0,0.001,2,100000.0,44.55405278482201,81.0,0.056658097326680534,0.00891714642881988,10647,0.04897126590210167
mu1.0_T0.001_s3,1.0,0.001,3,100000.0,40.376495726495726,18.0,0.06311560146293951,0.010704797790031858,11700,0.05111161827910098
mu1.0_T0.003_s1,1.0,0.003,1,100000.0,35.49429824561403,8.0,0.07440668362134963,0.012579238078762342,13680,0.0484393487207452
mu1.0_T0.003_s2,1.0,0.003,2,100000.0,34.97671372434871,7.0,0.07381784041867966,0.011800686570269427,13742,0.047114174668224325
mu1.0_T0.003_s3,1.0,0.003,3,100000.0,35.28091201403099,7.0,0.07417540230633678,0.010932425266785974,13684,0.04604456044510847
mu1.0_T0.008_s1,1.0,0.008,1,100000.0,28.353794578348072,5.0,0.0835983877793549,0.014948557636444065,17301,0.044932097110683494
mu1.0_T0.008_s2,1.0,0.008,2,100000.0,29.228860402210984,5.0,0.08377376658436017,0.015138834681913469,17006,0.04227742296754484
mu1.0_T0.008_s3,1.0,0.008,3,100000.0,27.937712152070603,5.0,0.08432294061102129,0.014426104688484024,17676,0.0428634284745098
