label,mu_g,Tgran,seed,Emod,kt_kn,tau_frames,tau_median,s_slip,s_slip_lw,n_episodes,R_E
k1.0e4_mu0.1_T0.001_s1,0.1,0.001,1,100000.0,0.1365001365001365,61.13375241779497,81.0,0.13446034642935142,0.028752315609462082,10340,0.018953717589491867
k1.0e4_mu0.1_T0.001_s2,0.1,0.001,2,100000.0,0.1365001365001365,59.58714555765595,81.0,0.14259845126000892,0.032076417440739045,10580,0.01934291935221639
k1.0e4_mu0.1_T0.001_s3,0.1,0.001,3,100000.0,0.1365001365001365,60.4880345987506,81.0,0.1383891441508954,0.028919027992716617,10405,0.019481295162387734
k1.0e4_mu0.1_T0.003_s1,0.1,0.003,1,100000.0,0.1365001365001365,53.10510659395141,81.0,0.19095554128920744,0.046258001674244334,12102,0.013720369267889514
k1.0e4_mu0.1_T0.003_s2,0.1,0.003,2,100000.0,0.1365001365001365,51.92100333903412,81.0,0.19461895265441442,0.04747638572132171,12279,0.013529006047086017
k1.0e4_mu0.1_T0.003_s3,0.1,0.003,3,100000.0,0.1365001365001365,51.43448219801658,81.0,0.1986996748594999,0.04614482565701615,12302,0.014655894781785046
k1.0e4_mu0.1_T0.008_s1,0.1,0.008,1,100000.0,0.1365001365001365,43.391102748471205,47.0,0.2574797208605848,0.07847261047261667,14881,0.010546584206972246
k1.0e4_mu0.1_T0.008_s2,0.1,0.008,2,100000.0,0.1365001365001365,44.03838025768628,55.0,0.25475767102600544,0.07785306169204596,14669,0.010958621464899867
k1.0e4_mu0.1_T0.008_s3,0.1,0.008,3,100000.0,0.1365001365001365,43.5304960693955,50.0,0.2572476271218353,0.07735048323618791,14756,0.010685113654390878
k1.0e4_mu0.3_T0.001_s1,0.3,0.001,1,100000.0,0.1365001365001365,52.18042420347076,81.0,0.10027870199108481,0.014726454653112722,10891,0.13204179946407155
k1.0e4_mu0.3_T0.001_s2,0.3,0.001,2,100000.0,0.1365001365001365,53.08352668213457,81.0,0.09717695078756525,0.014243629529262643,10775,0.12948015831162676
k1.0e4_mu0.3_T0.001_s3,0.3,0.001,3,100000.0,0.1365001365001365,52.364958828911256,81.0,0.10074618489196581,0.015284380683813548,10930,0.1257346397527406
k1.0e4_mu0.3_T0.003_s1,0.3,0.003,1,100000.0,0.1365001365001365,45.512968072526604,81.0,0.1253901882212569,0.017878794177353757,12685,0.12165690525935496
k1.0e4_mu0.3_T0.003_s2,0.3,0.003,2,100000.0,0.1365001365001365,47.01382712056279,81.0,0.11641149678768052,0.01722334972997145,12367,0.11718596164468176
k1.0e4_mu0.3_T0.003_s3,0.3,0.003,3,100000.0,0.1365001365001365,46.99524308635008,81.0,0.119118184871634,0.0170257444903085,12403,0.10910014021600237
k1.0e4_mu0.3_T0.008_s1,0.3,0.008,1,100000.0,0.1365001365001365,39.67283082077052,17.0,0.13940843884795556,0.024645467027631363,14925,0.09330454982702123
k1.0e4_mu0.3_T0.008_s2,0.3,0.008,2,100000.0,0.1365001365001365,39.448807947019866,16.0,0.14462838795594413,0.02519654107847038,15100,0.08908166870182903
k1.0e4_mu0.3_T0.008_s3,0.3,0.008,3,100000.0,0.1365001365001365,39.580186464551616,16.0,0.1449999855339071,0.024119599865107838,14909,0.08480161459807832
k1.0e4_mu1.0_T0.001_s1,1.0,0.001,1,100000.0,0.1365001365001365,47.96500095365249,81.0,0.04306814984119837,0.004614671912931619,10486,0.3625553319517339
k1.0e4_mu1.0_T0.001_s2,1.0,0.001,2,100000.0,0.1365001365001365,49.8224602082924,81.0,0.037553566799056526,0.004440999974363677,10178,0.39812627094159947
k1.0e4_mu1.0_T0.001_s3,1.0,0.001,3,100000.0,0.1365001365001365,47.861186615427876,81.0,0.04195635929062727,0.004455272006595761,10669,0.3684862693509305
k1.0e4_mu1.0_T0.003_s1,1.0,0.003,1,100000.0,0.1365001365001365,40.535074567979166,18.0,0.050275137258439406,0.005859439635118483,12673,0.33350231751156434
k1.0e4_mu1.0_T0.003_s2,1.0,0.003,2,100000.0,0.1365001365001365,40.3074816090155,19.0,0.05129134736989174,0.005886818535712136,12778,0.36378858661830965
k1.0e4_mu1.0_T0.003_s3,1.0,0.003,3,100000.0,0.1365001365001365,39.65923029745477,15.0,0.05131665064942046,0.006013744043764438,13044,0.3111111775229631
k1.0e4_mu1.0_T0.008_s1,1.0,0.008,1,100000.0,0.1365001365001365,32.95316320772462,8.0,0.062239300128265326,0.008763818330574423,15949,0.29186116523606026
k1.0e4_mu1.0_T0.008_s2,1.0,0.008,2,100000.0,0.1365001365001365,32.745426452410385,7.0,0.06021197754668291,0.008633104388085788,16180,0.29154311185885495
k1.0e4_mu1.0_T0.008_s3,1.0,0.008,3,100000.0,0.1365001365001365,33.086641461877754,7.0,0.05962048476745114,0.008074883114162469,15870,0.3034396069755519
k1.0e5_mu0.1_T0.001_s1,0.1,0.001,1,100000.0,1.365001365001365,61.06194000779119,81.0,0.17661110802576185,0.0735983693363786,10268,0.002320273196826032
k1.0e5_mu0.1_T0.001_s2,0.1,0.001,2,100000.0,1.365001365001365,57.31680236861584,81.0,0.1960911730747465,0.07115322528572351,10808,0.002068608171782187
k1.0e5_mu0.1_T0.001_s3,0.1,0.001,3,100000.0,1.365001365001365,56.51107480029049,81.0,0.19568999980786234,0.07046773950003694,11016,0.002260736355514851
k1.0e5_mu0.1_T0.003_s1,0.1,0.003,1,100000.0,1.365001365001365,53.52729738894541,81.0,0.2234241276151976,0.08023021564503459,11796,0.0018133212352668677
k1.0e5_mu0.1_T0.003_s2,0.1,0.003,2,100000.0,1.365001365001365,53.610038281582305,81.0,0.22106653858430278,0.08232014040299213,11755,0.0017995388033988325
k1.0e5_mu0.1_T0.003_s3,0.1,0.003,3,100000.0,1.365001365001365,51.309201954397395,81.0,0.23715168635960931,0.08407861261401384,12280,0.0018382698289833306
k1.0e5_mu0.1_T0.008_s1,0.1,0.008,1,100000.0,1.365001365001365,45.19371690787151,81.0,0.2857802408568013,0.11397771525956427,14165,0.0016399308263401805
k1.0e5_mu0.1_T0.008_s2,0.1,0.008,2,100000.0,1.365001365001365,44.43099846817992,76.0,0.28824667972061624,0.1153689443018376,14362,0.0017451142370462167
k1.0e5_mu0.1_T0.008_s3,0.1,0.008,3,100000.0,1.365001365001365,45.73769790329482,81.0,0.28300968636983787,0.11592399592100217,14022,0.001711141873257604
k1.0e5_mu0.3_T0.001_s1,0.3,0.001,1,100000.0,1.365001365001365,48.926617686111356,81.0,0.13822324806036412,0.03614643113018432,11297,0.014668209418062288
k1.0e5_mu0.3_T0.001_s2,0.3,0.001,2,100000.0,1.365001365001365,48.981168773760054,81.0,0.13755265700587188,0.037093926999815896,11311,0.014452508414660089
k1.0e5_mu0.3_T0.001_s3,0.3,0.001,3,100000.0,1.365001365001365,47.92028923129896,81.0,0.13978219553877747,0.038948068045052006,11617,0.014515190589825656
k1.0e5_mu0.3_T0.003_s1,0.3,0.003,1,100000.0,1.365001365001365,43.047335924994286,56.0,0.1615561253279116,0.037165907022371436,13119,0.012444935149703138
k1.0e5_mu0.3_T0.003_s2,0.3,0.003,2,100000.0,1.365001365001365,43.27208020817389,66.0,0.16072090423238444,0.037736583226180724,13066,0.013284955705238043
k1.0e5_mu0.3_T0.003_s3,0.3,0.003,3,100000.0,1.365001365001365,41.44688805806026,25.0,0.16732461538891336,0.03977169216292845,13641,0.012745350064896209
k1.0e5_mu0.3_T0.008_s1,0.3,0.008,1,100000.0,1.365001365001365,36.680928710753165,9.0,0.18914209691593878,0.04801447758889823,15893,0.010323067466885492
k1.0e5_mu0.3_T0.008_s2,0.3,0.008,2,100000.0,1.365001365001365,36.28140672016048,9.0,0.18731967639006616,0.0467844239677518,15952,0.010270976762820083
k1.0e5_mu0.3_T0.008_s3,0.3,0.008,3,100000.0,1.365001365001365,38.06580239638578,12.0,0.18208766417893263,0.04578596750140614,15273,0.010305536291531263
k1.0e5_mu1.0_T0.001_s1,1.0,0.001,1,100000.0,1.365001365001365,43.7621676327169,81.0,0.059791339983526905,0.00971931100744033,10869,0.04695312896925624
k1.0e5_mu1.0_T0.001_s2,1.0,0.001,2,100000.0,1.365001365001365,44.018967921896795,81.0,0.06483470875771766,0.010396600087870493,10755,0.04558220337474016
k1.0e5_mu1.0_T0.001_s3,1.0,0.001,3,100000.0,1.365001365001365,44.568320934174594,81.0,0.06036428045809855,0.009966805487764938,10619,0.04422990677819788
k1.0e5_mu1.0_T0.003_s1,1.0,0.003,1,100000.0,1.365001365001365,34.61606303766356,6.0,0.07498827513394404,0.011953788707804629,13833,0.0460702169366943
k1.0e5_mu1.0_T0.003_s2,1.0,0.003,2,100000.0,1.365001365001365,34.92400295420975,7.0,0.073119976257713,0.011764307813335984,13540,0.04606571520084768
k1.0e5_mu1.0_T0.003_s3,1.0,0.003,3,100000.0,1.365001365001365,34.14421768707483,6.0,0.07732423957705489,0.012281261010351829,13965,0.04428641969008205
k1.0e5_mu1.0_T0.008_s1,1.0,0.008,1,100000.0,1.365001365001365,28.645554059591408,5.0,0.0858950441645079,0.015222171361310467,17083,0.04448125177380731
k1.0e5_mu1.0_T0.008_s2,1.0,0.008,2,100000.0,1.365001365001365,27.014017132050284,4.0,0.08963118592408709,0.015556214455439836,17978,0.04185536997935831
k1.0e5_mu1.0_T0.008_s3,1.0,0.008,3,100000.0,1.365001365001365,28.76915882387327,5.0,0.08566265213353737,0.015090804910658047,17107,0.03940774969993522
k3.0e4_mu0.1_T0.001_s1,0.1,0.001,1,100000.0,0.4095004095004095,59.135214468326865,81.0,0.15659875494090722,0.042938095550712777,10561,0.007092491429609925
k3.0e4_mu0.1_T0.001_s2,0.1,0.001,2,100000.0,0.4095004095004095,59.73764728240213,81.0,0.15096380173844876,0.04192441611696907,10524,0.007066052581377003
k3.0e4_mu0.1_T0.001_s3,0.1,0.001,3,100000.0,0.4095004095004095,58.734047596472934,81.0,0.1590484055968833,0.04125636836769615,10547,0.006837191399951432
k3.0e4_mu0.1_T0.003_s1,0.1,0.003,1,100000.0,0.4095004095004095,52.51364087301587,81.0,0.2034258989030691,0.05690131532339953,12096,0.005227900052444658
k3.0e4_mu0.1_T0.003_s2,0.1,0.003,2,100000.0,0.4095004095004095,52.2576068235873,81.0,0.20753224438780637,0.058153385950842545,12193,0.005278017775356283
k3.0e4_mu0.1_T0.003_s3,0.1,0.003,3,100000.0,0.4095004095004095,49.94451929935801,81.0,0.21341740224119793,0.06021899547726732,12617,0.005164297924933676
k3.0e4_mu0.1_T0.008_s1,0.1,0.008,1,100000.0,0.4095004095004095,43.318587059300285,48.0,0.26828378975492206,0.08656246345741571,14806,0.004561936013983933
k3.0e4_mu0.1_T0.008_s2,0.1,0.008,2,100000.0,0.4095004095004095,43.72716083150985,56.0,0.26377524057588836,0.08552448449174781,14624,0.004506388388887996
k3.0e4_mu0.1_T0.008_s3,0.1,0.008,3,100000.0,0.4095004095004095,42.47780211029266,36.0,0.2716433595816098,0.08785529715762273,15069,0.00422055697789721
k3.0e4_mu0.3_T0.001_s1,0.3,0.001,1,100000.0,0.4095004095004095,52.039829566506114,81.0,0.10703697995108381,0.021366197834901447,10796,0.04739204619388344
k3.0e4_mu0.3_T0.001_s2,0.3,0.001,2,100000.0,0.4095004095004095,51.263031865905326,81.0,0.10906317940695492,0.02340041752453226,10858,0.046774111223913076
k3.0e4_mu0.3_T0.001_s3,0.3,0.001,3,100000.0,0.4095004095004095,51.41651342405296,81.0,0.10829066304264573,0.021140688762280806,10876,0.046281449132897876
k3.0e4_mu0.3_T0.003_s1,0.3,0.003,1,100000.0,0.4095004095004095,45.357749384969445,81.0,0.12597465744997072,0.022036451562672227,12601,0.04276990973331102
