label,mu_g,Tgran,seed,Emod,tau_frames,tau_median,s_slip,s_slip_lw,n_episodes,R_E
E1.0e4_mu0.1_T0.001_s1,0.1,0.001,1,10000.0,59.12902645312219,81.0,0.24602045690861424,0.07127031468744294,11114,0.0021611721405164195
E1.0e4_mu0.1_T0.001_s2,0.1,0.001,2,10000.0,57.569396589804754,81.0,0.25858648713170157,0.07755191612392347,11319,0.0020742251262120415
E1.0e4_mu0.1_T0.001_s3,0.1,0.001,3,10000.0,65.93221122722649,81.0,0.13219169840951692,0.03248308026791037,10813,0.0012761752331384043
E1.0e4_mu0.1_T0.003_s1,0.1,0.003,1,10000.0,59.759514239288464,81.0,0.18806871572663705,0.05188989764843267,11693,0.0018740322216145812
E1.0e4_mu0.1_T0.003_s2,0.1,0.003,2,10000.0,59.72498928418346,81.0,0.1855127513292193,0.05363919780907488,11665,0.0018658312355373313
E1.0e4_mu0.1_T0.003_s3,0.1,0.003,3,10000.0,61.08463212886374,81.0,0.17821894219650344,0.052503217842598676,11485,0.001993217611163493
E1.0e4_mu0.1_T0.008_s1,0.1,0.008,1,10000.0,53.430388371564845,81.0,0.23880037419892627,0.07906773104814371,13209,0.0016006316039793025
E1.0e4_mu0.1_T0.008_s2,0.1,0.008,2,10000.0,50.58437746115845,81.0,0.25351812144712954,0.08100782435400955,13967,0.0015854364163687005
E1.0e4_mu0.1_T0.008_s3,0.1,0.008,3,10000.0,55.4765970659008,81.0,0.22848009172022912,0.07501276750547428,12883,0.0015183959078316843
E1.0e4_mu0.3_T0.001_s1,0.3,0.001,1,10000.0,53.39012559549589,81.0,0.17054459899301222,0.038904003802793366,11545,0.017311076259356645
E1.0e4_mu0.3_T0.001_s2,0.3,0.001,2,10000.0,55.5027539503386,81.0,0.1567978097492326,0.0366508159357598,11075,0.01725629930970984
E1.0e4_mu0.3_T0.001_s3,0.3,0.001,3,10000.0,61.941083247879185,81.0,0.0947400022151522,0.01571544243139356,10727,0.009272309858997846
E1.0e4_mu0.3_T0.003_s1,0.3,0.003,1,10000.0,52.06816688567674,81.0,0.13858153761086678,0.02461899549198558,12176,0.015575163082090254
E1.0e4_mu0.3_T0.003_s2,0.3,0.003,2,10000.0,52.72398414271556,81.0,0.13082250032344847,0.02406239524297364,12108,0.01636275464758464
E1.0e4_mu0.3_T0.003_s3,0.3,0.003,3,10000.0,51.79514563106796,81.0,0.1396607823299766,0.024958293501283996,12360,0.014882804990684638
E1.0e4_mu0.3_T0.008_s1,0.3,0.008,1,10000.0,44.75332778702163,81.0,0.1681730230107255,0.029977289697330222,14424,0.013752062311530025
E1.0e4_mu0.3_T0.008_s2,0.3,0.008,2,10000.0,44.696850393700785,81.0,0.17510562072150349,0.030821129278759303,14478,0.013151664801724562
E1.0e4_mu0.3_T0.008_s3,0.3,0.008,3,10000.0,45.89148876007352,81.0,0.16645535514921936,0.030598554178264615,14146,0.012685482262559446
E1.0e4_mu1.0_T0.001_s1,1.0,0.001,1,10000.0,48.190074659639876,81.0,0.06189343330005525,0.008260365555806679,11385,0.05705451267290728
E1.0e4_mu1.0_T0.001_s2,1.0,0.001,2,10000.0,47.74389926183239,81.0,0.059360032164919155,0.008629047366994621,11515,0.052287756932231394
E1.0e4_mu1.0_T0.001_s3,1.0,0.001,3,10000.0,47.12919651333391,81.0,0.0631511688002197,0.008266097281380589,11587,0.05376973911906313
E1.0e4_mu1.0_T0.003_s1,1.0,0.003,1,10000.0,40.016504994932674,13.0,0.07476838081369976,0.008804460299427629,13814,0.05388299276386222
E1.0e4_mu1.0_T0.003_s2,1.0,0.003,2,10000.0,39.39170408381441,12.0,0.07721935435979255,0.009793651224432563,14031,0.04949360028442168
E1.0e4_mu1.0_T0.003_s3,1.0,0.003,3,10000.0,39.688632619439865,12.0,0.07340189617646105,0.009016536935135438,13961,0.052169260133364766
E1.0e4_mu1.0_T0.008_s1,1.0,0.008,1,10000.0,32.35642877780988,5.0,0.08916538237115837,0.011517552256718721,17305,0.050925924492422586
E1.0e4_mu1.0_T0.008_s2,1.0,0.008,2,10000.0,33.34891635321512,5.0,0.08883291703188953,0.011153660925127247,16749,0.04517722218571918
E1.0e4_mu1.0_T0.008_s3,1.0,0.008,3,10000.0,31.864337101747175,5.0,0.0929838837228499,0.01239266617927436,17514,0.047869135402502476
E1.0e5_mu0.1_T0.001_s1,0.1,0.001,1,100000.0,60.29041887337506,81.0,0.17206351023437058,0.06409355454899732,10385,0.0024158107541724892
E1.0e5_mu0.1_T0.001_s2,0.1,0.001,2,100000.0,59.31549833094898,81.0,0.17793714046252374,0.06728646472312488,10485,0.0024677170296871975
E1.0e5_mu0.1_T0.001_s3,0.1,0.001,3,100000.0,58.83206322325713,81.0,0.17686255889620917,0.06357483936378786,10629,0.002409502007641605
E1.0e5_mu0.1_T0.003_s1,0.1,0.003,1,100000.0,51.81578515111695,81.0,0.23028266397543548,0.08107666874303585,12176,0.0020282618532849375
E1.0e5_mu0.1_T0.003_s2,0.1,0.003,2,100000.0,54.97154225413026,81.0,0.2141746787966333,0.07683871312896719,11561,0.0020228358925311924
E1.0e5_mu0.1_T0.003_s3,0.1,0.003,3,100000.0,54.741194751381215,81.0,0.21352998912031232,0.07574409971582756,11584,0.0019411314603976504
E1.0e5_mu0.1_T0.008_s1,0.1,0.008,1,100000.0,44.94729434944761,72.0,0.28324545041621174,0.11649231462897615,14211,0.001997738392988439
E1.0e5_mu0.1_T0.008_s2,0.1,0.008,2,100000.0,42.99303959994594,43.5,0.28857965541639613,0.11471194305034021,14798,0.0018728385413290208
E1.0e5_mu0.1_T0.008_s3,0.1,0.008,3,100000.0,43.255399823955585,49.0,0.2913282488114784,0.11461573260242408,14769,0.0018447517210997523
E1.0e5_mu0.3_T0.001_s1,0.3,0.001,1,100000.0,48.87173585907763,81.0,0.1352347920230716,0.03535022387086491,11297,0.016091048756387633
E1.0e5_mu0.3_T0.001_s2,0.3,0.001,2,100000.0,50.4038356662425,81.0,0.1320821619864732,0.035299336570834,11002,0.01582144223001626
E1.0e5_mu0.3_T0.001_s3,0.3,0.001,3,100000.0,49.667972227167525,81.0,0.1343997883029702,0.035152427549868276,11234,0.01551497249480961
E1.0e5_mu0.3_T0.003_s1,0.3,0.003,1,100000.0,44.167891198999534,81.0,0.15196470139167556,0.035102745786467146,12794,0.01382653503917041
E1.0e5_mu0.3_T0.003_s2,0.3,0.003,2,100000.0,45.670761078998076,81.0,0.1506920177493955,0.034736980883322346,12456,0.014163632257365796
E1.0e5_mu0.3_T0.003_s3,0.3,0.003,3,100000.0,42.037614066325396,33.0,0.16115695625272788,0.03643679682329583,13479,0.014205920299222354
E1.0e5_mu0.3_T0.008_s1,0.3,0.008,1,100000.0,36.43970736629667,10.0,0.18283171274173782,0.04489362880502883,15856,0.011645010600867074
E1.0e5_mu0.3_T0.008_s2,0.3,0.008,2,100000.0,38.58871448440294,13.0,0.17506182012262123,0.044067546438605616,15099,0.011990993953439708
