P,mu_g,Tgran,seed,chi
10.0,0.05,0.0005,1,0.1394118491424137
10.0,0.05,0.0005,2,0.12823991085385675
10.0,0.05,0.0015,1,0.13698793531020417
10.0,0.05,0.0015,2,0.13820935811530852
10.0,0.05,0.001,1,0.12918256386204705
10.0,0.05,0.001,2,0.12843011569586432
10.0,0.05,0.003,1,0.1635374446834894
10.0,0.05,0.003,2,0.1648966241696522
10.0,0.05,0.005,1,0.19147117956134863
10.0,0.05,0.005,2,0.19372878622936107
10.0,0.05,0.008,1,0.22676151126442295
10.0,0.05,0.008,2,0.22603204034264093
10.0,0.05,0.013000000000000001,1,0.2670380149116514
10.0,0.05,0.013000000000000001,2,0.26675419949250373
10.0,0.05,0.02,1,0.3045984793687535
10.0,0.05,0.02,2,0.3025497923545077
10.0,0.05,0.03,1,0.34200912971310876
10.0,0.05,0.03,2,0.34143387289200383
10.0,0.15,0.0005,1,0.08441349102798426
10.0,0.15,0.0005,2,0.04480468266595864
10.0,0.15,0.0015,1,0.07376064581745218
10.0,0.15,0.0015,2,0.07308518042845177
10.0,0.15,0.001,1,0.07504483565934465
10.0,0.15,0.001,2,0.07468417240696405
10.0,0.15,0.003,1,0.07949360975805642
10.0,0.15,0.003,2,0.07851257291888808
10.0,0.15,0.005,1,0.08602772258456501
10.0,0.15,0.005,2,0.08658945235809433
10.0,0.15,0.008,1,0.09766986488756402
10.0,0.15,0.008,2,0.09810758025150343
10.0,0.15,0.013000000000000001,1,0.11317619034042799
10.0,0.15,0.013000000000000001,2,0.11330308197173444
10.0,0.15,0.02,1,0.1340535130737213
10.0,0.15,0.02,2,0.13393314821563493
10.0,0.15,0.03,1,0.1560720363163865
10.0,0.15,0.03,2,0.15741168654941326
10.0,0.1,0.0005,1,0.11029923854373999
10.0,0.1,0.0005,2,0.06515676847139368
10.0,0.1,0.0015,1,0.08937298194775738
10.0,0.1,0.0015,2,0.09155749572513042
10.0,0.1,0.001,1,0.0874899411077773
10.0,0.1,0.001,2,0.08609965085008109
10.0,0.1,0.003,1,0.10079089360101541
10.0,0.1,0.003,2,0.0995259978550095
10.0,0.1,0.005,1,0.11462333221050906
10.0,0.1,0.005,2,0.11491001118950689
10.0,0.1,0.008,1,0.13206782055504634
10.0,0.1,0.008,2,0.13334201304868562
10.0,0.1,0.013000000000000001,1,0.1584602947142364
10.0,0.1,0.013000000000000001,2,0.15710928432300855
10.0,0.1,0.02,1,0.1837584613719456
10.0,0.1,0.02,2,0.1852494840574958
10.0,0.1,0.03,1,0.21669070873316598
10.0,0.1,0.03,2,0.21493508955095936
10.0,0.2,0.0005,1,0.04596673100488489
10.0,0.2,0.0005,2,0.03952100080582304
10.0,0.2,0.0015,1,0.06626239968170217
10.0,0.2,0.0015,2,0.0661208530717633
10.0,0.2,0.001,1,0.0671705901876455
10.0,0.2,0.001,2,0.06738806726663046
10.0,0.2,0.003,1,0.069080923627099
10.0,0.2,0.003,2,0.06807303877854645
10.0,0.2,0.005,1,0.07421397581804132
10.0,0.2,0.005,2,0.07338693962406825
10.0,0.2,0.008,1,0.08176563548571164
10.0,0.2,0.008,2,0.08124663808443673
10.0,0.2,0.013000000000000001,1,0.09147974525472033
10.0,0.2,0.013000000000000001,2,0.09140053690709664
10.0,0.2,0.02,1,0.10757104096613583
10.0,0.2,0.02,2,0.10615334488039244
10.0,0.2,0.03,1,0.12457830984275378
10.0,0.2,0.03,2,0.12462187515871172
10.0,0.3,0.0005,1,0.05644917523518163
