source,D,mu_g,Pconf,kappa,kt_kn,chi,Z,n,n_err
results_matched2d,2,0.0,10.0,10000.0,1.2353262353262353,1.0,4.062627572016461,0.061186097470847474,0.016794570117517695
results_matched2d,2,0.1,10.0,10000.0,1.2353262353262353,0.08604799707730315,3.9010411522633746,0.16490533677811028,0.013444095482567834
results_matched2d,2,0.15,10.0,10000.0,1.2353262353262353,0.0631198077599767,3.77645267489712,0.1737966334360691,0.014933988190441502
results_matched2d,2,0.2,10.0,10000.0,1.2353262353262353,0.051012135999597974,3.6778477366255142,0.15783669943466064,0.017714059395567236
results_matched2d,2,0.3,10.0,10000.0,1.2353262353262353,0.03846503659110364,3.5035185185185185,0.14483779065934885,0.017559954970775397
results_matched2d,2,0.5,10.0,10000.0,1.2353262353262353,0.025223540055373837,3.2375713305898497,0.09678601508348285,0.01858023404537917
results_matched2d,2,1.0,10.0,10000.0,1.2353262353262353,0.012268635082598204,2.9873230452674897,0.07506201358638036,0.009450871056101859
results_3d,3,0.0,10.0,10000.0,1.2353262353262353,1.0,6.13298775510204,0.06248033062927203,0.015010514290422543
results_3d,3,0.15,10.0,10000.0,1.2353262353262353,0.15150504577752627,5.700447619047619,0.21706729669952482,0.017223362467564167
results_3d,3,0.2,10.0,10000.0,1.2353262353262353,0.12187918571362187,5.435419047619048,0.2524195168884437,0.020016550992286473
results_3d,3,0.3,10.0,10000.0,1.2353262353262353,0.06954719947956906,5.0210748299319725,0.19058335175847818,0.01935188106653624
results_3d,3,0.4,10.0,10000.0,1.2353262353262353,0.053444743459236034,4.658633744855967,0.12672382393500117,0.020609711224215996
results_3d,3,0.5,10.0,10000.0,1.2353262353262353,0.051312940044687914,4.460548299319728,0.0928855359522391,0.01185733706787808
results_3d,3,0.6,10.0,10000.0,1.2353262353262353,0.04126447173402762,4.254329218106997,0.09213715019622774,0.012983450742705434
results_3d,3,0.8,10.0,10000.0,1.2353262353262353,0.031147184930708078,4.028720164609054,0.06215838825402973,0.008014583863828098
results_3d,3,1.0,10.0,10000.0,1.2353262353262353,0.027573891080767896,3.9693102040816326,0.05101491716454032,0.00930685501279567
results_3d,3,1.5,10.0,10000.0,1.2353262353262353,0.016705718018001112,3.8003676268861457,0.04297713785090883,0.007932314190614192
results_3d,3,2.0,10.0,10000.0,1.2353262353262353,0.01183244409192967,3.7394979423868313,0.03927741989565351,0.011627853751969874
stiffness,2,0.1,10.0,1000.0,1.2353262353262353,0.0638253846016014,4.283751028806583,0.17068541955357364,0.02047064535708246
stiffness,2,0.3,10.0,1000.0,1.2353262353262353,0.028479360464056778,3.943689986282579,0.1191164388705207,0.01769004746403608
stiffness,2,1.0,10.0,1000.0,1.2353262353262353,0.009759199503737334,3.416082304526749,0.07895469357400457,0.018923968746112713
stiffness,2,0.1,10.0,3000.0,1.2353262353262353,,,0.18185177489694127,0.01465770864692131
stiffness,2,0.3,10.0,3000.0,1.2353262353262353,,,0.1143148174428943,0.019812113672165586
stiffness,2,1.0,10.0,3000.0,1.2353262353262353,,,0.06915451026750227,0.0098224802345633
stiffness,2,0.1,10.0,10000.0,1.2353262353262353,0.08604799707730315,3.9010411522633746,0.1650156188240214,0.01341304296742306
stiffness,2,0.3,10.0,10000.0,1.2353262353262353,0.03846503659110364,3.5035185185185185,0.1448205679697836,0.017823442075396732
stiffness,2,1.0,10.0,10000.0,1.2353262353262353,0.012268635082598204,2.9873230452674897,0.07487400010419422,0.009569838029940065
stiffness,2,0.1,10.0,30000.0,1.2353262353262353,,,0.16275021359457967,0.019379006072565902
stiffness,2,0.3,10.0,30000.0,1.2353262353262353,,,0.16481649835712392,0.023099712061033496
stiffness,2,1.0,10.0,30000.0,1.2353262353262353,,,0.0859451107152295,0.01200082700002354
stiffness,2,0.1,10.0,100000.0,1.2353262353262353,0.1196967553559475,3.6571632373113854,0.1928503129676045,0.014067110852428115
stiffness,2,0.3,10.0,100000.0,1.2353262353262353,0.05155115234292535,3.2716399176954734,0.17654881807772285,0.02101826347816581
stiffness,2,1.0,10.0,100000.0,1.2353262353262353,0.01498668664990677,2.726189986282579,0.0925983474449886,0.008617097659705492
kt_P10,2,0.1,10.0,10000.0,0.1365001365001365,,,0.21034160410208377,0.010030699262406382
kt_P10,2,0.3,10.0,10000.0,0.1365001365001365,,,0.16009904066349168,0.012897123721199116
kt_P10,2,1.0,10.0,10000.0,0.1365001365001365,,,0.10509648860920927,0.01704473066799521
kt_P10,2,0.1,10.0,10000.0,0.4095004095004095,,,0.17536430758044527,0.01628269913616399
kt_P10,2,0.3,10.0,10000.0,0.4095004095004095,,,0.12655889341685223,0.017237968000368087
kt_P10,2,1.0,10.0,10000.0,0.4095004095004095,,,0.09475773474754148,0.014811371500152201
kt_P10,2,0.1,10.0,10000.0,1.365001365001365,,,0.1680409141707264,0.014240434594301729
kt_P10,2,0.3,10.0,10000.0,1.365001365001365,,,0.14079879898371486,0.014916591106653804
kt_P10,2,1.0,10.0,10000.0,1.365001365001365,,,0.0961016254405894,0.015962766088817876
kt_P10,2,0.1,10.0,10000.0,4.095004095004095,,,0.16245226866307563,0.016713989485986982
kt_P10,2,0.3,10.0,10000.0,4.095004095004095,,,0.17098864799964006,0.01773292562061212
kt_P10,2,1.0,10.0,10000.0,4.095004095004095,,,0.08265902243646889,0.010259547966090488
ktgrid_P2,2,0.0,2.0,50000.0,0.01365001365001365,,,0.06328174226188123,0.015000632011113738
ktgrid_P2,2,0.03,2.0,50000.0,0.01365001365001365,,,0.08032581735403693,0.01552811809659786
ktgrid_P2,2,0.1,2.0,50000.0,0.01365001365001365,,,0.08208115898707016,0.01708041758182768
ktgrid_P2,2,0.3,2.0,50000.0,0.01365001365001365,,,0.2515486588289983,0.01956230847772356
ktgrid_P2,2,0.0,2.0,50000.0,0.04095004095004095,,,0.06328174226188109,0.015000632011113757
ktgrid_P2,2,0.03,2.0,50000.0,0.04095004095004095,,,0.06391186978113406,0.020064830804477792
ktgrid_P2,2,0.1,2.0,50000.0,0.04095004095004095,,,0.13645798223172886,0.012034515002606282
ktgrid_P2,2,0.3,2.0,50000.0,0.04095004095004095,,,0.2500829781758841,0.012173018847441265
ktgrid_P2,2,0.0,2.0,50000.0,0.1365001365001365,,,0.06328174226188109,0.015000632011113757
ktgrid_P2,2,0.03,2.0,50000.0,0.1365001365001365,,,0.08126108379809363,0.01209923562543541
ktgrid_P2,2,0.1,2.0,50000.0,0.1365001365001365,,,0.12031589385187484,0.010727570654265483
ktgrid_P2,2,0.3,2.0,50000.0,0.1365001365001365,,,0.2577914665261582,0.014587795996376227
ktgrid_P2,2,1.0,2.0,50000.0,0.1365001365001365,,,0.2797532425454978,0.01697596189684583
ktgrid_P2,2,5.0,2.0,50000.0,0.1365001365001365,,,0.23109082873133294,0.016536838217756637
ktgrid_P2,2,0.0,2.0,50000.0,0.4095004095004095,,,0.06328174226188123,0.015000632011113738
ktgrid_P2,2,0.03,2.0,50000.0,0.4095004095004095,,,0.07509311628592814,0.008151519618968138
ktgrid_P2,2,0.1,2.0,50000.0,0.4095004095004095,,,0.13435051779827495,0.013457911521501885
ktgrid_P2,2,0.3,2.0,50000.0,0.4095004095004095,,,0.21763092463292172,0.012787765769909738
ktgrid_P2,2,1.0,2.0,50000.0,0.4095004095004095,,,0.24643696947382088,0.023600582024795296
ktgrid_P2,2,5.0,2.0,50000.0,0.4095004095004095,,,0.16711583720120568,0.01691274727271883
ktgrid_P2,2,0.0,2.0,50000.0,1.365001365001365,,,0.06328174226188109,0.015000632011113757
ktgrid_P2,2,0.03,2.0,50000.0,1.365001365001365,,,0.060760189978936105,0.01047211156883035
ktgrid_P2,2,0.1,2.0,50000.0,1.365001365001365,,,0.12246405259150409,0.013845368799926573
ktgrid_P2,2,0.3,2.0,50000.0,1.365001365001365,,,0.22532613387941897,0.010456292648366786
ktgrid_P2,2,1.0,2.0,50000.0,1.365001365001365,,,0.2061755421539932,0.0213242731602823
ktgrid_P2,2,5.0,2.0,50000.0,1.365001365001365,,,0.14254949993823035,0.021488796390894446
ktgrid_P2,2,0.0,2.0,50000.0,4.095004095004095,,,0.06328174226188123,0.015000632011113738
ktgrid_P2,2,0.03,2.0,50000.0,4.095004095004095,,,0.07900169816223225,0.02066916043590675
ktgrid_P2,2,0.1,2.0,50000.0,4.095004095004095,,,0.15100407938727584,0.014634967679832973
ktgrid_P2,2,0.3,2.0,50000.0,4.095004095004095,,,0.20882354241382636,0.0112026958821673
ktgrid_P2,2,1.0,2.0,50000.0,4.095004095004095,,,0.2093100918730466,0.027340823229129382
ktgrid_P2,2,5.0,2.0,50000.0,4.095004095004095,,,0.15897809384454475,0.02601692256820942
steadystate,2,0.1,10.0,10000.0,1.2353262353262353,,,0.1689612168343084,0.005102893482130838
steadystate,2,0.3,10.0,10000.0,1.2353262353262353,,,0.11714612569282559,0.01241534406844373
