Tgran,Theta,label,mean_persist,median_persist,mu_g,n_episodes,seed
0.0005,5.710175466666667e-05,mu0.05_T0.0005_s1,0.2552869846402587,0.105,0.05,3711,1
0.0005,6.665578033333333e-05,mu0.05_T0.0005_s2,0.24576957033549146,0.105,0.05,3398,2
0.0005,6.6230867e-05,mu0.05_T0.0005_s3,0.24541326067211622,0.105,0.05,3303,3
0.002,0.0002376463033333333,mu0.05_T0.002_s1,0.2535118890356671,0.105,0.05,7570,1
0.002,0.00024093714333333336,mu0.05_T0.002_s2,0.25272070527733564,0.12,0.05,8167,2
0.002,0.00024539559,mu0.05_T0.002_s3,0.2582636374984396,0.12,0.05,8011,3
0.006,0.0008487237566666667,mu0.05_T0.006_s1,0.2280038265306122,0.105,0.05,17248,1
0.006,0.0008441459033333333,mu0.05_T0.006_s2,0.2280425702351662,0.105,0.05,17477,2
0.006,0.0008314181,mu0.05_T0.006_s3,0.23136398354876617,0.105,0.05,17020,3
0.015,0.0024276925666666667,mu0.05_T0.015_s1,0.1828552581982661,0.09,0.05,29183,1
0.015,0.0025055394,mu0.05_T0.015_s2,0.17379312072132239,0.09,0.05,29945,2
0.015,0.002456544766666667,mu0.05_T0.015_s3,0.18167051003798154,0.09,0.05,29488,3
0.0005,0.00014029839333333334,mu0.0_T0.0005_s1,0.2934810733109727,0.135,0.0,4174,1
0.0005,0.00014750733666666664,mu0.0_T0.0005_s2,0.29851946394384166,0.12,0.0,4701,2
0.0005,0.0001411369833333333,mu0.0_T0.0005_s3,0.2852409900130265,0.12,0.0,4606,3
0.002,0.0003969453166666667,mu0.0_T0.002_s1,0.2629079682446339,0.12,0.0,10203,1
0.002,0.00036632274333333334,mu0.0_T0.002_s2,0.2604612139227155,0.12,0.0,10429,2
0.002,0.00044638288000000006,mu0.0_T0.002_s3,0.2825836659502609,0.12,0.0,9771,3
0.006,0.0012012363333333332,mu0.0_T0.006_s1,0.22955787534540986,0.105,0.0,19542,1
0.006,0.0012091425666666666,mu0.0_T0.006_s2,0.23156731272917763,0.105,0.0,19090,2
0.006,0.0011783228666666667,mu0.0_T0.006_s3,0.23314782519491173,0.105,0.0,19496,3
