P,mu_g,Tgran,seed,chi,chi_sd,ncon,nframe
5.0,0.05,0.00075,1,0.1680112750614358,0.08309975472716699,6041,9
5.0,0.05,0.00075,2,0.183862662787478,0.08436767557149343,6449,9
5.0,0.05,0.00075,3,0.14229770877869252,0.07956230244561444,6642,9
5.0,0.05,0.00075,4,0.13683836670120197,0.07097367649018972,7732,9
5.0,0.05,0.0005,1,0.12211089842185123,0.06063978706524257,5997,9
5.0,0.05,0.0005,2,0.21481896237124076,0.04597206764834046,4470,9
5.0,0.05,0.0005,3,0.17795005383957047,0.06558082413063052,4237,9
5.0,0.05,0.0005,4,0.20709710276202475,0.07946149026914515,4923,9
5.0,0.05,0.0015,1,0.16365972912421817,0.005705960494601769,7884,9
5.0,0.05,0.0015,2,0.16247842252600211,0.005988927208766163,7873,9
5.0,0.05,0.0015,3,0.1652540018470419,0.004277661909518396,7892,9
5.0,0.05,0.0015,4,0.16569589248104413,0.004433852074620711,7856,9
5.0,0.05,0.0025,1,0.19565768425660462,0.004075592691220306,7893,9
5.0,0.05,0.0025,2,0.19576243805921986,0.005950625465751223,7897,9
5.0,0.05,0.0025,3,0.19865484894433946,0.004421145039944342,7879,9
5.0,0.05,0.0025,4,0.19713513167729207,0.004021980720268626,7878,9
5.0,0.05,0.006500000000000001,1,0.2767448536924766,0.0041374607053233465,7794,9
5.0,0.05,0.006500000000000001,2,0.2786378376963465,0.00423944192996509,7780,9
5.0,0.05,0.006500000000000001,3,0.2766214646465563,0.006202870624618778,7819,9
5.0,0.05,0.006500000000000001,4,0.27639028372361074,0.0035222519177967055,7796,9
5.0,0.05,0.015,1,0.3580544877952506,0.006324052191700044,7617,9
5.0,0.05,0.015,2,0.35891642266342266,0.004209259988690651,7603,9
5.0,0.05,0.015,3,0.36433925141743245,0.007814517315607469,7563,9
5.0,0.05,0.015,4,0.359717637287022,0.006666539896993576,7590,9
5.0,0.05,0.03,1,0.4294580126046629,0.005294538716226407,7253,9
5.0,0.05,0.03,2,0.43232411103273616,0.006555027035382699,7276,9
5.0,0.05,0.03,3,0.4305090494457397,0.00613122858459962,7221,9
5.0,0.05,0.03,4,0.42821999912230174,0.005064781871406032,7250,9
5.0,0.05,0.06,1,0.5013700571092395,0.0070130859237196065,6720,9
5.0,0.05,0.06,2,0.4967034052420035,0.005265173486598891,6752,9
5.0,0.05,0.06,3,0.4984086775420507,0.006758897193441241,6677,9
5.0,0.05,0.06,4,0.49449643009773553,0.005619690652610463,6734,9
5.0,0.05,0.125,1,0.5631869887354699,0.006567117979581799,5888,9
5.0,0.05,0.125,2,0.5638560892985005,0.007104291454011053,5919,9
5.0,0.05,0.125,3,0.5645840750755238,0.00792914716602141,5897,9
5.0,0.05,0.125,4,0.5579606623778672,0.0076208146083279705,5940,9
5.0,0.15,0.00075,1,0.04445986701265843,0.032385841023432956,7271,9
5.0,0.15,0.00075,2,0.048399879713028136,0.028888838592240066,7214,9
5.0,0.15,0.00075,3,0.06537434012019888,0.04000935163085796,6307,9
5.0,0.15,0.00075,4,0.04605150015786125,0.041166599079349504,7242,9
5.0,0.15,0.0005,1,0.06578797604386231,0.03171473660331844,4368,9
5.0,0.15,0.0005,2,0.055064169302465805,0.030845939578314427,5949,9
5.0,0.15,0.0005,3,0.062454132881206124,0.0348620128642629,5182,9
5.0,0.15,0.0005,4,0.05675539058353082,0.02628782376121341,5314,9
5.0,0.15,0.0015,1,0.06406885825275661,0.005297114589462947,7450,9
5.0,0.15,0.0015,2,0.06858393521053946,0.0035708918362783834,7449,9
5.0,0.15,0.0015,3,0.0680561013238737,0.00414454336437661,7397,9
5.0,0.15,0.0015,4,0.06524022415616686,0.003407205082568826,7435,9
5.0,0.15,0.0025,1,0.0759605041170847,0.004133465095825086,7506,9
5.0,0.15,0.0025,2,0.07680782313072748,0.005543313300215043,7489,9
5.0,0.15,0.0025,3,0.07491636439463442,0.0018247581168173194,7497,9
5.0,0.15,0.0025,4,0.07364114287537739,0.0017925289555938602,7509,9
5.0,0.15,0.006500000000000001,1,0.10888636293271842,0.006136535216411817,7591,9
5.0,0.15,0.006500000000000001,2,0.10771777614618822,0.003946745634089881,7638,9
5.0,0.15,0.006500000000000001,3,0.10843585410174286,0.004253648151618027,7606,9
5.0,0.15,0.006500000000000001,4,0.10977039286435007,0.0055007720137519285,7599,9
5.0,0.15,0.015,1,0.15816311594006763,0.005566221723187707,7578,9
5.0,0.15,0.015,2,0.1546167554279563,0.0040942394805613,7581,9
5.0,0.15,0.015,3,0.16078810274903066,0.004354528762610833,7538,9
5.0,0.15,0.015,4,0.15687118531132307,0.00668015790486093,7599,9
5.0,0.15,0.03,1,0.21189149884291544,0.0047346759229936215,7363,9
5.0,0.15,0.03,2,0.2088866422985068,0.0058771171539029245,7381,9
5.0,0.15,0.03,3,0.2146721736617765,0.0049220769881142615,7347,9
5.0,0.15,0.03,4,0.21058648803301772,0.003473878323278791,7346,9
5.0,0.15,0.06,1,0.2743829832645315,0.004422675922190245,6908,9
5.0,0.15,0.06,2,0.2687192182579414,0.004322057462555784,6915,9
5.0,0.15,0.06,3,0.27534889049942773,0.0060351297995170005,6917,9
5.0,0.15,0.06,4,0.2745922701775105,0.006647151805812824,6909,9
5.0,0.15,0.125,1,0.33767191575582334,0.0057005263860267896,6132,9
5.0,0.15,0.125,2,0.33122035966845126,0.006267225363215728,6135,9
5.0,0.15,0.125,3,0.3330489200022457,0.006195256754171761,6164,9
5.0,0.15,0.125,4,0.33709125355269753,0.006830041696120811,6146,9
5.0,0.1,0.00075,1,0.0817273146489966,0.053964553416759105,6618,9
5.0,0.1,0.00075,2,0.07983683579963391,0.06355603058757726,6883,9
5.0,0.1,0.00075,3,0.0791667463707136,0.04363328485322315,6810,9
5.0,0.1,0.00075,4,0.05269747903217894,0.02604294515936322,7679,9
5.0,0.1,0.0005,1,0.09227955692780568,0.04825671995517903,5066,9
5.0,0.1,0.0005,2,0.09036832660243865,0.03617357992515236,4783,9
5.0,0.1,0.0005,3,0.06689101804790248,0.04715795881087886,6330,9
5.0,0.1,0.0005,4,0.09091628739727074,0.05109055495969341,6114,9
5.0,0.1,0.0015,1,0.09031348680922018,0.003938346819561962,7665,9
5.0,0.1,0.0015,2,0.09111477128645323,0.002758412004853545,7623,9
5.0,0.1,0.0015,3,0.09161108683471274,0.005683148477158822,7658,9
5.0,0.1,0.0015,4,0.09026779169342651,0.0048859112175356585,7654,9
5.0,0.1,0.0025,1,0.10758930930851945,0.005396120501770013,7705,9
5.0,0.1,0.0025,2,0.10576561517128275,0.006038597608031444,7701,9
5.0,0.1,0.0025,3,0.10741583980180898,0.0065416556917030425,7703,9
5.0,0.1,0.0025,4,0.1075545627418492,0.003239644441474567,7726,9
5.0,0.1,0.006500000000000001,1,0.15806796777489665,0.005816468365377379,7746,9
5.0,0.1,0.006500000000000001,2,0.1568328575458018,0.0033682609917737513,7757,9
5.0,0.1,0.006500000000000001,3,0.15756532381245691,0.0038161909879724154,7768,9
5.0,0.1,0.006500000000000001,4,0.15921355497434211,0.003210945411008594,7734,9
5.0,0.1,0.015,1,0.2256699546663075,0.004096334913925456,7591,9
5.0,0.1,0.015,2,0.21651403720165008,0.004342026607794542,7638,9
5.0,0.1,0.015,3,0.220408577801418,0.005935562147296147,7624,9
5.0,0.1,0.015,4,0.2206988922928518,0.005046955512449637,7608,9
5.0,0.1,0.03,1,0.28612432743379546,0.005979631093897917,7349,9
5.0,0.1,0.03,2,0.28371383214280665,0.004786019521007859,7321,9
5.0,0.1,0.03,3,0.2852182338366354,0.0026533408852544276,7366,9
5.0,0.1,0.03,4,0.28601814019101596,0.005484964160578496,7326,9
5.0,0.1,0.06,1,0.3545240353306075,0.00597607170700068,6841,9
5.0,0.1,0.06,2,0.3491330316869836,0.006418375895284374,6867,9
5.0,0.1,0.06,3,0.35239382228237903,0.005008328729090853,6849,9
5.0,0.1,0.06,4,0.35407581513069236,0.0050330660773769504,6853,9
5.0,0.1,0.125,1,0.41951290498316923,0.005274130151173901,6048,9
5.0,0.1,0.125,2,0.41781388367319744,0.004461412662356338,6040,9
5.0,0.1,0.125,3,0.418011903277932,0.006402939411942247,6096,9
5.0,0.1,0.125,4,0.4173011469531782,0.005141045533324548,6042,9
5.0,0.2,0.00075,1,0.04355399855220783,0.033422250116578296,6460,9
5.0,0.2,0.00075,2,0.040112098877755735,0.03350784359460365,6343,9
5.0,0.2,0.00075,3,0.05283259825757853,0.03169397216866342,6249,9
5.0,0.2,0.00075,4,0.0453731336273582,0.029967076283451213,6316,9
5.0,0.2,0.0005,1,0.05083122904012486,0.020984742241195894,4464,9
5.0,0.2,0.0005,2,0.05048352594923799,0.02206738247986501,4742,9
5.0,0.2,0.0005,3,0.05396641033275121,0.020517505983721877,4516,9
5.0,0.2,0.0005,4,0.051299756678150926,0.023544825587749903,5110,9
5.0,0.2,0.0015,1,0.05338699376475667,0.0029911537854555386,7220,9
5.0,0.2,0.0015,2,0.052141941254973644,0.004874387265186916,7247,9
5.0,0.2,0.0015,3,0.05307209457425179,0.004253887681912441,7174,9
5.0,0.2,0.0015,4,0.054369553079816155,0.003926872778473934,7211,9
5.0,0.2,0.0025,1,0.05992155105594607,0.002047374490067461,7281,9
5.0,0.2,0.0025,2,0.060490482854639795,0.0030820409613649263,7314,9
5.0,0.2,0.0025,3,0.0583870299123527,0.0033249799299431256,7290,9
5.0,0.2,0.0025,4,0.059831652616335024,0.0038009583750295145,7307,9
5.0,0.2,0.006500000000000001,1,0.08239015585075636,0.003689792579067364,7450,9
5.0,0.2,0.006500000000000001,2,0.08346985708519279,0.0033884172608730943,7452,9
5.0,0.2,0.006500000000000001,3,0.08203860023339617,0.0025881946092294952,7434,9
5.0,0.2,0.006500000000000001,4,0.08358783949276967,0.0033025520049401406,7457,9
5.0,0.2,0.015,1,0.12010888731255642,0.002723125242109948,7517,9
5.0,0.2,0.015,2,0.1218244999879137,0.0032425381776396973,7491,9
5.0,0.2,0.015,3,0.1183182161136418,0.0028154037312036746,7488,9
5.0,0.2,0.015,4,0.12249290159258347,0.003131119617087949,7485,9
5.0,0.2,0.03,1,0.1646072823754682,0.0036837470919293762,7331,9
5.0,0.2,0.03,2,0.16484015030495583,0.0035497708872681477,7323,9
5.0,0.2,0.03,3,0.16823821299254516,0.003956952392863569,7319,9
5.0,0.2,0.03,4,0.16454075359158982,0.005258665289775281,7339,9
5.0,0.2,0.06,1,0.21964148294016844,0.004687301080308562,6941,9
5.0,0.2,0.06,2,0.2233493829279003,0.005825216739297915,6907,9
5.0,0.2,0.06,3,0.22047928938479858,0.004148039681580829,6948,9
5.0,0.2,0.06,4,0.21942717554032454,0.006014980169291258,6945,9
5.0,0.2,0.125,1,0.28211289012075114,0.00633892977644197,6165,9
5.0,0.2,0.125,2,0.28193797088826034,0.006925792678090221,6176,9
5.0,0.2,0.125,3,0.2781571928899224,0.007386082387004061,6197,9
5.0,0.2,0.125,4,0.27764893159347065,0.0038320013292814513,6170,9
