P,mu_g,Tgran,seed,mu,a_c,a_n,a_t,Theta
5.0,0.05,0.00075,1,0.2540632535944583,0.15051521931306006,0.3490702788456527,0.0018032993018491843,8.646453614285711e-05
5.0,0.05,0.00075,2,0.38083610920397754,0.41205259334852967,0.3382581391580496,0.0012714896584629506,8.559541853571429e-05
5.0,0.05,0.00075,3,0.40331698440201424,0.40754942750975015,0.3889886044048201,0.0019781428269904687,8.33676672142857e-05
5.0,0.05,0.00075,4,0.21042470187827153,0.09834521343011875,0.31339347884616753,0.0009320647076814549,8.576229071428572e-05
5.0,0.05,0.0005,1,0.21981708474728026,0.05507413960107868,0.38257722781896053,-0.0001342800092145828,8.183715032142857e-05
5.0,0.05,0.0005,2,0.37020872025385687,0.4567761118637055,0.26430959768596146,0.00722415506314347,8.811043817857142e-05
5.0,0.05,0.0005,3,0.18156713306663186,0.07358239690252248,0.28586848604388204,-2.650562507401099e-05,8.898735071428572e-05
5.0,0.05,0.0005,4,0.2691276342331683,0.2655847509120635,0.2599049501952969,0.0030879247371801313,8.528318742857142e-05
5.0,0.05,0.0015,1,0.1282240632017057,0.09804127279819719,0.1521242599702152,0.0013725287780041004,9.100158732142856e-05
5.0,0.05,0.0015,2,0.11121634557253203,0.07281003491898769,0.14397394541552824,0.0014203712190437908,9.20816785e-05
5.0,0.05,0.0015,3,0.12588741392778977,0.0937987374691401,0.1508858875457255,0.0015026541489189258,8.902736110714286e-05
5.0,0.05,0.0015,4,0.13006278852174058,0.10163062148764555,0.15217006951105563,0.0014428107305597408,9.942489507142858e-05
5.0,0.05,0.0025,1,0.11271714357775513,0.08704864112844625,0.1337348995028646,0.001298667368294067,0.00014456801071428572
5.0,0.05,0.0025,2,0.1175229779265225,0.09238213960634654,0.13681709912863854,0.0011579919214456868,0.0001499765492857143
5.0,0.05,0.0025,3,0.10765896050168951,0.08274634758130006,0.12831335441958577,0.0009474796129655829,0.00014816819857142857
5.0,0.05,0.0025,4,0.12228123257259073,0.09012788322231284,0.1470379029099196,0.0012320751950229945,0.00015357597964285713
5.0,0.05,0.006500000000000001,1,0.09905107941087155,0.07983935522513118,0.11432301318553985,0.0006290162049695709,0.0004059770132142857
5.0,0.05,0.006500000000000001,2,0.1086564396597138,0.08245288229970198,0.13065588628805805,0.00011809906824708548,0.0004074107775
5.0,0.05,0.006500000000000001,3,0.1024091470087096,0.08922930393958309,0.11011126257082406,0.000912988105875082,0.00039517548714285714
5.0,0.05,0.006500000000000001,4,0.11234849719853068,0.0876020886842378,0.13399443225176533,0.0005680514139558453,0.00040871289142857146
