mu_g,Tgran,seed,mu,Theta,a_c,a_n,a_t
0.05,0.0005,1,0.12233240848148148,7.821464870370372e-05,0.2699084587924652,0.28514769588233274,-0.310391337711835
0.05,0.0005,2,0.12526585831481482,9.00578407037037e-05,0.18514627891862934,0.33151619553335343,-0.2661307578223531
0.05,0.0005,3,0.12172811885185186,8.975685111111109e-05,0.2958151975779568,0.31313888428172265,-0.36549784415597575
0.05,0.0015,1,0.12160125981481483,0.00010662740740740739,0.08639859887457531,0.1559540291900366,0.0008498915650177463
0.05,0.0015,2,0.14668072425925927,0.00010865080398148147,0.11072403057206122,0.18089124352671382,0.001746174419743507
0.05,0.0015,3,0.13189462944444444,0.000107148737962963,0.10131456632568728,0.15564327674704045,0.006831415816161146
0.05,0.001,1,0.1403862537037037,8.082930355555552e-05,0.10656259776856467,0.1679008774518888,0.006309032186953917
0.05,0.001,2,0.13740536888888888,8.097791614814816e-05,0.09918485463705391,0.1776791550178589,-0.0020532718771350267
0.05,0.001,3,0.14564640166666667,7.69837182037037e-05,0.09869902914025876,0.18617526195262843,0.006418512240446178
0.05,0.003,1,0.13529214055555558,0.00019848862703703704,0.09453823541630844,0.16910629978230154,0.006939745912501155
0.05,0.003,2,0.13399284685185184,0.0001912721505555556,0.10174523859627398,0.1609288703546765,0.005311584752753173
0.05,0.003,3,0.12269436414814815,0.0001968423966666666,0.09132413948191224,0.15319202892538844,0.0008725598889956221
0.05,0.005,1,0.12258584870370368,0.0003211456277777778,0.0830808024610161,0.15617619571792335,0.005914699228467907
0.05,0.005,2,0.12007796314814813,0.0003155152794444445,0.09577675555039454,0.14313356876886396,0.001245601977037769
0.05,0.005,3,0.11100876164814813,0.0003043916848148149,0.08010795931594579,0.14907150068018826,-0.007161936699837779
0.05,0.008,1,0.10369018701851852,0.0005192122033333334,0.07873852257429412,0.13248979259328572,-0.0038479411305427924
0.05,0.008,2,0.11741666966666668,0.000514464322037037,0.09575009186493942,0.1418108183911929,-0.002727570922798933
0.05,0.008,3,0.1035648712592593,0.0004956454449999999,0.07299134424821788,0.13030341801237852,0.003834980257922199
0.05,0.013,1,0.11040045844444446,0.0008415354507407408,0.08049975526182651,0.1341002608402972,0.006200900786765218
0.05,0.013,2,0.10388668496296297,0.0008613123429629631,0.08198258149684425,0.12350167180699256,0.002289116622089138
