Tgran,Theta,label,mean_lifetime,mean_rate,mean_reorient,mu_g,n_episodes,seed
0.0005,5.710175466666667e-05,mu0.05_T0.0005_s1,0.2552869846402587,0.007680607548544034,0.0012918055010341662,0.05,3711,1
0.0005,6.665578033333333e-05,mu0.05_T0.0005_s2,0.24576957033549146,0.008806836224546869,0.001674549921580158,0.05,3398,2
0.0005,6.6230867e-05,mu0.05_T0.0005_s3,0.24541326067211622,0.008307938571367066,0.0016794864117960961,0.05,3303,3
0.002,0.0002376463033333333,mu0.05_T0.002_s1,0.2535118890356671,0.013678638556561621,0.0022891503293508723,0.05,7570,1
0.002,0.00024093714333333336,mu0.05_T0.002_s2,0.25272070527733564,0.013409965990256515,0.002240936813777938,0.05,8167,2
0.002,0.00024539559,mu0.05_T0.002_s3,0.2582636374984396,0.013864718945331287,0.002325640286490961,0.05,8011,3
0.006,0.0008487237566666667,mu0.05_T0.006_s1,0.2280038265306122,0.02381606854105734,0.0037437465125610223,0.05,17248,1
0.006,0.0008441459033333333,mu0.05_T0.006_s2,0.2280425702351662,0.022644223003416446,0.0033063706138281262,0.05,17477,2
0.006,0.0008314181,mu0.05_T0.006_s3,0.23136398354876617,0.023039895264310987,0.003577079776999938,0.05,17020,3
0.015,0.0024276925666666667,mu0.05_T0.015_s1,0.1828552581982661,0.037959633283069796,0.005162446518497329,0.05,29183,1
0.015,0.0025055394,mu0.05_T0.015_s2,0.17379312072132239,0.03946378795672054,0.005257940852025159,0.05,29945,2
0.015,0.002456544766666667,mu0.05_T0.015_s3,0.18167051003798154,0.03866316340079456,0.005241220509359841,0.05,29488,3
0.0005,0.00014029839333333334,mu0.0_T0.0005_s1,0.2934810733109727,0.010063293892735466,0.0021802017505089845,0.0,4174,1
0.0005,0.00014750733666666664,mu0.0_T0.0005_s2,0.29851946394384166,0.010793539186416344,0.002463901442213778,0.0,4701,2
0.0005,0.0001411369833333333,mu0.0_T0.0005_s3,0.2852409900130265,0.011575900087058628,0.0024676700874451626,0.0,4606,3
0.002,0.0003969453166666667,mu0.0_T0.002_s1,0.2629079682446339,0.01658481530333705,0.0030060057982150617,0.0,10203,1
0.002,0.00036632274333333334,mu0.0_T0.002_s2,0.2604612139227155,0.016459721254933554,0.0027712566093480544,0.0,10429,2
0.002,0.00044638288000000006,mu0.0_T0.002_s3,0.2825836659502609,0.017394947985494884,0.0034902533203701822,0.0,9771,3
0.006,0.0012012363333333332,mu0.0_T0.006_s1,0.22955787534540986,0.028322499904289894,0.004617066161670191,0.0,19542,1
0.006,0.0012091425666666666,mu0.0_T0.006_s2,0.23156731272917763,0.02903086975920547,0.004865652346572011,0.0,19090,2
0.006,0.0011783228666666667,mu0.0_T0.006_s3,0.23314782519491173,0.027923203296024032,0.004483178290044162,0.0,19496,3
0.015,0.0030931479000000004,mu0.0_T0.015_s1,0.17300251696562274,0.04717637257502706,0.0064283109553282015,0.0,31387,1
0.015,0.0031416195333333337,mu0.0_T0.015_s2,0.17068119374703927,0.047880788604771164,0.006382131106077832,0.0,31665,2
0.015,0.0031506536666666665,mu0.0_T0.015_s3,0.16936240133337524,0.04787071143361992,0.006263096823017686,0.0,31799,3
0.0005,4.8645029333333335e-05,mu0.1_T0.0005_s1,0.23080868761552678,0.0071504848879694344,0.001166528826423144,0.1,3246,1
0.0005,5.0003802e-05,mu0.1_T0.0005_s2,0.2207002617801047,0.007971107238856082,0.0011497888771460072,0.1,3056,2
0.0005,4.938309499999999e-05,mu0.1_T0.0005_s3,0.21473333333333333,0.007484031679820681,0.001058546825986891,0.1,3150,3
0.002,0.00018725833999999998,mu0.1_T0.002_s1,0.23586495775454677,0.012472091410012048,0.0017552329104552225,0.1,6983,1
0.002,0.00019352935000000002,mu0.1_T0.002_s2,0.24826038903625108,0.012218016508042459,0.0018637592961852517,0.1,6786,2
0.002,0.00020119064333333332,mu0.1_T0.002_s3,0.24628402602576016,0.012769466556491698,0.0019645880125809044,0.1,7531,3
0.006,0.0006603176166666666,mu0.1_T0.006_s1,0.23797153725078699,0.01943766514508397,0.0029753710008544334,0.1,15248,1
0.006,0.0006809494633333333,mu0.1_T0.006_s2,0.23419000856785077,0.020177908080659265,0.002959472250409418,0.1,15173,2
0.006,0.0006959953066666666,mu0.1_T0.006_s3,0.236430951746201,0.018666122170835728,0.0027290708289919403,0.1,15004,3
0.015,0.0019999485,mu0.1_T0.015_s1,0.18926888338553427,0.033499725077818766,0.0045320199025782265,0.1,27458,1
0.015,0.0020670001333333334,mu0.1_T0.015_s2,0.19173194546794398,0.03351950788301156,0.004492270402493191,0.1,27140,2
0.015,0.0019867725,mu0.1_T0.015_s3,0.18859223300970873,0.03315076609384967,0.004432413771317787,0.1,27501,3
0.0005,6.332676933333332e-05,mu0.3_T0.0005_s1,0.19141232575201758,0.008210092043668824,0.0009763239619665602,0.3,4089,1
0.0005,5.949680133333334e-05,mu0.3_T0.0005_s2,0.19470655487804878,0.00769133855018332,0.0009355406086858715,0.3,3936,2
0.0005,6.141615833333334e-05,mu0.3_T0.0005_s3,0.19285052739902236,0.008265126283350882,0.0009741008160149123,0.3,3887,3
0.002,0.0001814764,mu0.3_T0.002_s1,0.22725477707006367,0.011424632862014311,0.0014092757375862778,0.3,7065,1
0.002,0.00017901920000000003,mu0.3_T0.002_s2,0.21967178770949722,0.010837573845585,0.0013009792952372815,0.3,6444,2
0.002,0.00018882600666666666,mu0.3_T0.002_s3,0.21163449848024313,0.011287071031905804,0.001296157108087093,0.3,6580,3
0.006,0.0005308647866666666,mu0.3_T0.006_s1,0.2233584695393759,0.016354182015521957,0.0020816003099965565,0.3,13460,1
0.006,0.0005218262599999999,mu0.3_T0.006_s2,0.2267009469108972,0.01544399116230561,0.0019124015054533276,0.3,12884,2
0.006,0.00053217769,mu0.3_T0.006_s3,0.23140669617361506,0.016079724406710807,0.0020895497008145774,0.3,14008,3
0.015,0.0015348331,mu0.3_T0.015_s1,0.20033562433122065,0.025376567298623663,0.0031932486925906655,0.3,24298,1
0.015,0.0015325774666666667,mu0.3_T0.015_s2,0.20017311567087465,0.025611687434724934,0.0031757072376050804,0.3,24319,2
0.015,0.0015673963333333334,mu0.3_T0.015_s3,0.19292712798530312,0.02706597654171709,0.003310855151975625,0.3,24495,3
0.0005,0.00010466907666666666,mu1.0_T0.0005_s1,0.2142444393487732,0.009822918040302256,0.0012561189856918392,1.0,4361,1
0.0005,0.00011082528666666668,mu1.0_T0.0005_s2,0.19961417816813048,0.010855252081874385,0.0013337845177126375,1.0,4782,2
