I,P,Tgran,Theta,a_c,label,mu,mu_g,n_contacts,n_samples,seed,tau
0.0009673287403508772,2.004525668245614,0.0002,0.00010102110740350878,0.1928242299617117,mu0.001_T0.0002_s1,0.09566218477192981,0.001,5412.166666666667,57,1,-0.21812640823684207
0.0009738828612280702,2.034116530877193,0.0002,9.16627488245614e-05,0.19410853449802776,mu0.001_T0.0002_s2,0.096559175,0.001,5384.333333333333,57,2,-0.21329544466666667
0.00097672467122807,2.0196722301754386,0.0002,9.294676524561403e-05,0.15077642264464292,mu0.001_T0.0002_s3,0.10513051664912282,0.001,5943.722222222223,57,3,-0.2271052559122807
0.0007088852670175437,1.990150040350877,0.0005,0.00013416717070175439,0.04332741825276995,mu0.001_T0.0005_s1,0.09720697771929826,0.001,7615.611111111111,57,1,-0.19342578105263158
0.0007096206624561403,1.9860325298245614,0.0005,0.00012862939859649124,0.04525853414496084,mu0.001_T0.0005_s2,0.11542410522807019,0.001,7630.333333333333,57,2,-0.22923491245614033
0.0007099844747368422,1.9839301228070176,0.0005,0.00014068812614035088,0.046186014125110524,mu0.001_T0.0005_s3,0.12031817928070175,0.001,7591.888888888889,57,3,-0.23876286824561407
0.0007117073043859649,1.9743261877192984,0.002,0.00040446579000000005,0.05201110716722178,mu0.001_T0.002_s1,0.11511429754385966,0.001,7234.111111111111,57,1,-0.22728996122807016
0.0007123170531578947,1.9709123087719296,0.002,0.0004114812203508772,0.04107848027258704,mu0.001_T0.002_s2,0.09124545819298245,0.001,7202.944444444444,57,2,-0.1798916861403509
0.0007088053691228072,1.9905195894736842,0.002,0.0003998649650877193,0.05082148815355411,mu0.001_T0.002_s3,0.10699659156140352,0.001,7215.5,57,3,-0.2129583807017544
0.0007103773149122808,1.9817539666666668,0.006,0.0011577011701754383,0.05067246583908499,mu0.001_T0.006_s1,0.0924149125614035,0.001,6599.0,57,1,-0.1830899698245614
0.0007140053166666666,1.9617330175438594,0.006,0.001159218735087719,0.04931914183380107,mu0.001_T0.006_s2,0.08904600303508772,0.001,6573.722222222223,57,2,-0.17475811070175437
0.0007089260877192983,1.989847103508772,0.006,0.0011624099175438596,0.05328381464701837,mu0.001_T0.006_s3,0.10016363975438596,0.001,6610.5,57,3,-0.19928018877192982
0.0007051665724561403,2.0112302561403506,0.015,0.0030343855596491223,0.05282263578818902,mu0.001_T0.015_s1,0.0902423434736842,0.001,5749.388888888889,57,1,-0.18153855631578944
0.0007074626157894737,1.9981687789473686,0.015,0.0030498591245614035,0.04982018210581584,mu0.001_T0.015_s2,0.08694567864912281,0.001,5734.111111111111,57,2,-0.17371265280701753
0.0007045289942105264,2.014836554385965,0.015,0.003057383152631579,0.05552620486763515,mu0.001_T0.015_s3,0.09338173715789475,0.001,5753.5,57,3,-0.18810563894736843
0.0007063117975438596,2.004769545614035,0.03,0.00657054220877193,0.051886279577039694,mu0.001_T0.03_s1,0.0819958507017544,0.001,4866.111111111111,57,1,-0.16438332438596492
