I,P,Tgran,Theta,a_c,label,mu,mu_g,n_contacts,n_samples,seed,tau
0.0004282118159649123,5.455206807017544,0.0005,0.00019370846614035088,,mu0.05_T0.0005_s1,0.09061779175438596,0.05,,57,1,-0.4935058026315789
0.0004296392742105263,5.419095994736843,0.0005,0.00022383845824561403,,mu0.05_T0.0005_s2,0.08319485291228071,0.05,,57,2,-0.4507955338596491
0.00031256271578947365,10.240001710526316,0.0005,0.0001985617047368421,,mu0.05_T0.0005_s3,0.10386131828070173,0.05,,57,3,-1.0618096275438595
0.00031840003263157896,9.864214045614034,0.001,4.106218471929825e-05,,mu0.05_T0.001_s1,0.1675265805263158,0.05,,57,1,-1.6527061877192981
0.00031888990929824563,9.833933214035088,0.001,4.0824452964912284e-05,,mu0.05_T0.001_s2,0.18384258701754386,0.05,,57,2,-1.8072226070175437
0.0003177022045614035,9.907495103508774,0.001,4.112310864912281e-05,,mu0.05_T0.001_s3,0.17872035368421052,0.05,,57,3,-1.7710362824561405
0.0003192976624561403,9.808900694736842,0.003,0.00011562881350877193,,mu0.05_T0.003_s1,0.14114294631578947,0.05,,57,1,-1.384966110526316
0.00032058431473684206,9.730247001754384,0.003,0.00011378984947368423,,mu0.05_T0.003_s2,0.14846289754385966,0.05,,57,2,-1.4450780087719297
0.00032043984877192986,9.739064184210527,0.003,0.00011747628263157892,,mu0.05_T0.003_s3,0.14310843807017545,0.05,,57,3,-1.394091040350877
0.0003173850312280702,9.927434868421052,0.008,0.00032454634,,mu0.05_T0.008_s1,0.12124394989473686,0.05,,57,1,-1.2037072621052631
0.00031926602736842113,9.810695117543858,0.008,0.0003326461307017544,,mu0.05_T0.008_s2,0.11909709736842106,0.05,,57,2,-1.168453465263158
0.000320568417368421,9.731353919298243,0.008,0.00033710189631578946,,mu0.05_T0.008_s3,0.12626086333333333,0.05,,57,3,-1.2285359245614034
0.0003208385045614035,9.714867570175441,0.02,0.0010052970877192982,,mu0.05_T0.02_s1,0.09703909621052631,0.05,,57,1,-0.9431250347368421
