mu_g,Tgran,seed,Theta,mu,a_c,a_n,a_t
0.05,0.0005,1,0.00010065524997604791,0.4392032381810918,0.5371975808780171,0.33808706356124685,0.003121827778757704
0.05,0.0005,2,9.954904383832334e-05,0.2836589309163206,0.24107122128219438,0.32499826148386535,0.0012483750307937368
0.05,0.0015,1,0.00011013063511676647,0.1444740422948192,0.10437766974244941,0.18223229667237228,0.002338116842202261
0.05,0.0015,2,0.00011391839896407185,0.14578648788265186,0.10491037388838402,0.18407446210424605,0.002588140739397915
0.05,0.001,1,8.289635990718562e-05,0.15342278519389077,0.10944508725553972,0.19462574107912511,0.0027747399691591375
0.05,0.001,2,8.49818172035928e-05,0.1533326231790189,0.11303512557342871,0.1905186845777095,0.0031114344861024688
0.05,0.003,1,0.00019051662104790421,0.13228178883704197,0.09607546063752613,0.16704261844528978,0.0014454981966019454
0.05,0.003,2,0.00019306931775449102,0.1345987826943543,0.09895465557392222,0.1686650116078183,0.0015778943343337497
0.05,0.005,1,0.000312664875748503,0.12624015239280562,0.09568621767861088,0.15586111355415883,0.0009329756011744998
0.05,0.005,2,0.00031507416721556885,0.12549913204173663,0.09266148188000155,0.15715081710592949,0.0011859622180064268
0.05,0.008,1,0.0005037410692215568,0.11950192392617069,0.09198836195312117,0.14643413295284874,0.0005813541076883646
0.05,0.008,2,0.0005068584856287425,0.11723359345324601,0.0880587029577895,0.14574368269326504,0.0006648008673660645
0.05,0.013,1,0.0008512009542814371,0.11515409114015555,0.08855845703333595,0.14131905708696188,0.0004306694961492442
0.05,0.013,2,0.0008478376417964073,0.1134740372840816,0.08692494235363622,0.1396192604742143,0.00040386889971025003
0.05,0.02,1,0.0013920060041916166,0.11233649423187192,0.08882997378868805,0.13567555775159518,0.00016745485568152817
0.05,0.02,2,0.001394364655988024,0.10890056851078664,0.09046083954954552,0.12688883909824414,0.00045145605780906703
0.05,0.03,1,0.0021977866281437126,0.1045000682352074,0.08440487900579557,0.12437780405369378,0.0002174540540369747
0.05,0.03,2,0.0022190019263473052,0.10206271000662044,0.08320472970319033,0.12057866657264403,0.00034201854717080533
0.0,0.0005,1,0.00027804081359281434,0.42677075546257837,0.540326208040536,0.3132153019146885,0.0
