mu_g,Tgran,seed,Theta,mu,mu_n,mu_t,A_c,A_n
0.05,0.0005,1,0.00018904998910778442,0.4225727128118058,0.4213393861362802,0.0012333266755257053,0.06409703390359933,0.07634942755394965
0.05,0.0005,2,0.0001958953877245509,0.3512654739678617,0.35047042131452594,0.0007950526533357452,0.04100861746922938,0.07581485783470979
0.05,0.0015,1,5.977700688622754e-05,0.2593084574939286,0.2567693036947357,0.002539153799192855,0.03677769649576147,0.04881207074178881
0.05,0.0015,2,5.788036832934131e-05,0.25285436383088383,0.2501174315234144,0.0027369323074694077,0.03581930913087024,0.04755316757337306
0.05,0.001,1,4.139684645508981e-05,0.26876554094569405,0.2653289340807912,0.0034366068649027953,0.037087292924153595,0.05135568457929416
0.05,0.001,2,4.21774428263473e-05,0.2720024209715931,0.26867339412485536,0.0033290268467377412,0.037621844716653405,0.05193595383566461
0.05,0.003,1,0.00011530779401197605,0.2234416042553652,0.2221498556451975,0.0012917486101677,0.03206428454258816,0.04198566779390685
0.05,0.003,2,0.00011604862517964072,0.2278842545155794,0.22650517285439184,0.0013790816611875334,0.03327594056193029,0.04222578441661755
0.05,0.005,1,0.00019201961802395206,0.20858929310302718,0.20778022387398037,0.0008090692290468253,0.030757205314295002,0.038502868727392545
0.05,0.005,2,0.00019566267059880244,0.20787217017288576,0.2071349531399464,0.0007372170329393952,0.03007995724418014,0.038965026316039965
0.05,0.008,1,0.00033386873413173654,0.20522621263835547,0.20475457133023037,0.00047164130812515,0.02930309028232299,0.03894843383346803
0.05,0.008,2,0.0003331744508383233,0.19265352712775272,0.19195435780707873,0.0006991693206740013,0.028465306048579487,0.03551947870949775
0.05,0.013,1,0.0005848562969161677,0.18523967476128927,0.18488742916465964,0.0003522455966296056,0.027264285450142572,0.034364857311258726
0.05,0.013,2,0.000595453817245509,0.193421197713471,0.1932027671204556,0.00021843059301541497,0.029511453336153664,0.03488946778664315
0.05,0.02,1,0.0009951726581736528,0.17875678019511626,0.17827402697330108,0.0004827532218151539,0.028022355416613215,0.031402320915752846
0.05,0.02,2,0.001005384446526946,0.19381475632934395,0.19343205066092994,0.0003827056684140355,0.02849588471475934,0.03598146598245801
0.05,0.03,1,0.001661202131437126,0.16994813621683585,0.16948587000660442,0.00046226621023144653,0.026054856293089363,0.030440433372992542
0.05,0.03,2,0.0016568444335329341,0.17400824471126355,0.17379176631496498,0.00021647839629858388,0.02838279831687945,0.0295477916713198
0.05,0.05,1,0.0031165495188622758,0.1699017530624063,0.16977508604033129,0.0001266670220750269,0.028901848389856884,0.027689847779189716
0.05,0.05,2,0.0031345179733532937,0.16595475833320847,0.16569769259047695,0.0002570657427314834,0.027089608330288697,0.028142953377621217
0.05,0.08,1,0.005665281968562874,0.1569015964111289,0.15676345904550926,0.00013813736561968536,0.02786409791973583,0.02439038864072755
0.05,0.08,2,0.00569310122005988,0.16641220528577766,0.16608895273441024,0.0003232525513673927,0.028621710133779222,0.026741274379030858
0.05,0.12,1,0.009406510227544912,0.14832449398420638,0.1480507792520243,0.00027371473218206854,0.028099083769631987,0.021251174143822892
0.05,0.12,2,0.009373240897005988,0.16044181089122617,0.16025334039183253,0.00018847049939366424,0.030167519986771942,0.023250260277957218
0.0,0.0005,1,0.00017758697423952098,0.544654493894601,0.544654493894601,0.0,0.10124078649785663,0.08031071219387896
0.0,0.0005,2,0.00018465669315868263,0.5702531960226644,0.5702531960226644,0.0,0.11033640283789983,0.0797479968046398
0.0,0.0015,1,0.0002938929551497006,0.159030817537804,0.159030817537804,0.0,0.023929310901664905,0.029080962834680292
0.0,0.0015,2,0.00030080037038922157,0.16891768529756845,0.16891768529756845,0.0,0.02508210502312391,0.03122379043339374
0.0,0.001,1,0.00023624378937125748,0.1593083426872093,0.1593083426872093,0.0,0.023413198119383225,0.02968958236970952
0.0,0.001,2,0.0002364077639520958,0.15853377057268936,0.15853377057268936,0.0,0.023499958432477874,0.029344629925629095
0.0,0.003,1,0.00046343277071856287,0.15531286787059334,0.15531286787059334,0.0,0.02332503356074711,0.02844592386538907
0.0,0.003,2,0.00046977457059880237,0.15859395302674287,0.15859395302674287,0.0,0.02427601313080286,0.02858863715079547
0.0,0.005,1,0.0007083070791616766,0.15494611183267196,0.15494611183267196,0.0,0.023728393603338845,0.027920312810932543
0.0,0.005,2,0.0007055806651497005,0.16199148868783692,0.16199148868783692,0.0,0.02486645024857023,0.02913071356839837
0.0,0.008,1,0.0010588711288023953,0.1582096918180515,0.1582096918180515,0.0,0.024339398330823003,0.02839716661554606
0.0,0.008,2,0.001058243704491018,0.14972892257290032,0.14972892257290032,0.0,0.02390087593647909,0.02600876677533358
0.0,0.013,1,0.001641535751497006,0.1565130627611973,0.1565130627611973,0.0,0.024303413565482553,0.027867606121822326
0.0,0.013,2,0.0016461742766467064,0.14092196882546995,0.14092196882546995,0.0,0.022742652177501526,0.02423133677116332
0.0,0.02,1,0.0024683047715568862,0.1533646814071341,0.1533646814071341,0.0,0.026210725464792944,0.024910833334383202
0.0,0.02,2,0.0024712654350299403,0.15162458813167112,0.15162458813167112,0.0,0.025289336415408075,0.025252191881754007
0.0,0.03,1,0.0036790147781437118,0.14742658688168267,0.14742658688168267,0.0,0.025539618775358944,0.02360257813070799
0.0,0.03,2,0.0036559650026946108,0.14630016583024852,0.14630016583024852,0.0,0.02541105622130431,0.023355665550947813
0.0,0.05,1,0.006064347408982036,0.13518625972122694,0.13518625972122694,0.0,0.025076768707559965,0.019985317161745175
0.0,0.05,2,0.006104969171257485,0.14139940012767166,0.14139940012767166,0.0,0.025376371050041896,0.021756761289803653
