Tgran,Theta,Z,Z_c,a_c,a_c_str,a_c_w,a_c_wk,chi,cv_f,dZ_eff,f_mean,label,mu_g,pr_f,seed
0.0005,0.0005,5.3825510204081635,4.838293758022612,0.100343267678807,0.2199000898266625,0.19605805627348008,0.053318489810126,0.4191468790113061,0.8628485558197815,0.5442572623855515,6.643466580604441,mu0.05_T0.0005_s1,0.05,0.5740488593009198,1
0.0005,0.0005,6.0504693877551015,4.766196095083033,0.04557808878079736,0.1653027992436036,0.13733648170699278,0.08103756955858182,0.3830980475415164,0.7880838403334599,1.2842732926720686,9.14358603284699,mu0.05_T0.0005_s2,0.05,0.6179872103070408,2
0.0005,0.0005,6.414387755102041,4.799727413019506,0.015277524223459347,0.11775436611240517,0.09738646804832671,0.07860594560718186,0.39986370650975267,0.7234726715451227,1.6146603420825354,10.530761576301279,mu0.05_T0.0005_s3,0.05,0.6564228561478552,3
0.001,0.001,6.068510204081632,4.32441648003037,0.024838930309954238,0.0787270903582555,0.06952257407496767,0.018793613219778873,0.1622082400151852,0.7842750840398237,1.744093724051262,8.365763629007917,mu0.05_T0.001_s1,0.05,0.6191618679424374,1
0.001,0.001,6.090714285714285,4.301984531403588,0.02988314852106829,0.08959152587388572,0.0857338248734729,0.0193990784262175,0.15099226570179397,0.7887204016429806,1.7887297543106975,8.261717609108993,mu0.05_T0.001_s2,0.05,0.6164928266426601,2
0.001,0.001,6.067387755102041,4.313951110215783,0.024626346874541023,0.08774559703697069,0.07231251564971741,0.022405525389382442,0.1569755551078911,0.7801387946039564,1.7534366448862588,8.580451897069894,mu0.05_T0.001_s3,0.05,0.6216536460570464,3
0.003,0.003,6.216306122448979,4.460079858487967,0.020218127163728627,0.05801806800958608,0.05389494355903214,0.0161358823518222,0.2300399292439837,0.7612699688401623,1.756226263961012,7.823660670102777,mu0.05_T0.003_s1,0.05,0.6330999433308447,1
0.003,0.003,6.2089591836734686,4.463361186694115,0.02440896438029336,0.0691572083949742,0.06415705191434184,0.013970623326716763,0.23168059334705746,0.7723986275272046,1.7455979969793534,7.949831523524147,mu0.05_T0.003_s2,0.05,0.6263318653174988,2
0.003,0.003,6.175428571428571,4.4609907965411715,0.023795506266907764,0.07253993406559311,0.06360190443440555,0.01433493380203348,0.23049539827058585,0.7698521412899529,1.7144377748873998,8.183207351550605,mu0.05_T0.003_s3,0.05,0.6278764200815006,3
0.008,0.008,6.244816326530613,4.679005325938426,0.014228738407591587,0.04131869512975989,0.04060354503314439,0.013293638248367823,0.3395026629692129,0.7503962500509483,1.5658110005921877,7.912976836059814,mu0.05_T0.008_s1,0.05,0.6397577978336438,1
0.008,0.008,6.179122448979593,4.686327061557039,0.02206114580413773,0.05166089238106148,0.05329665053497885,0.010786380589489962,0.34316353077851924,0.7542749294872498,1.4927953874225537,7.885831894669437,mu0.05_T0.008_s2,0.05,0.6373775716457641,2
0.008,0.008,6.193224489795918,4.6815517652366925,0.016741064812368023,0.044094424219334336,0.03712000765958311,0.01369747118944243,0.340775882618346,0.7598330888424267,1.5116727245592259,7.888140198098066,mu0.05_T0.008_s3,0.05,0.63398250444905,3
0.02,0.02,6.143142857142857,4.92043475014265,0.017111337614735656,0.05206648238612619,0.04773629751168275,0.01577745343248576,0.4602173750713254,0.7682311777579287,1.2227081070002068,8.144279149113128,mu0.05_T0.02_s1,0.05,0.6288629373425585,1
0.02,0.02,6.063367346938775,4.9218750888396805,0.022631938754347807,0.04529992900744355,0.04954284774159161,0.016332162571811366,0.4609375444198401,0.7517969814478997,1.1414922580990945,8.09242596951989,mu0.05_T0.02_s2,0.05,0.6389002109096397,2
0.02,0.02,6.121510204081631,4.9080334025514585,0.02315067036487139,0.0612172987240558,0.05702615180270778,0.011751502136254923,0.4540167012757292,0.7396272289586272,1.213476801530173,8.195454883235733,mu0.05_T0.02_s3,0.05,0.6463959623176775,3
0.0005,0.0005,6.513204081632654,6.0,0.01826347042014444,0.13396031804845457,0.10306735911260058,0.09147736696657667,1.0,0.7381113140717199,0.5132040816326544,10.469162473915018,mu0.0_T0.0005_s1,0.0,0.6473302706991994,1
0.0005,0.0005,5.544836734693877,6.0,0.10056560147923534,0.21021020461637707,0.19118516572125635,0.10303151680466074,1.0,0.8294015170215744,-0.4551632653061226,8.259174439222889,mu0.0_T0.0005_s2,0.0,0.5933994701012737,2
0.0005,0.0005,5.284632653061225,6.0,0.1016911067247983,0.20060068448728569,0.18390888299608182,0.038262413985660326,1.0,0.8992078230412043,-0.7153673469387751,6.081349003236645,mu0.0_T0.0005_s3,0.0,0.5529252313631011,3
0.001,0.001,6.378326530612245,6.0,0.0145715423832197,0.03700821206777997,0.03479880185335012,0.012666977288824089,1.0,0.7594499400767178,0.3783265306122452,7.637180181925717,mu0.0_T0.001_s1,0.0,0.63421659770049,1
0.001,0.001,6.348877551020409,6.0,0.02044452034575521,0.051689875797360625,0.044435370845792535,0.011250509374336004,1.0,0.7632585149563236,0.34887755102040874,7.8054739047711275,mu0.0_T0.001_s2,0.0,0.6318897622804837,2
0.001,0.001,6.370204081632653,6.0,0.017743578169694175,0.04834278984533973,0.04504174637098495,0.012898476899707719,1.0,0.772999942592181,0.37020408163265284,7.5775395058555635,mu0.0_T0.001_s3,0.0,0.6259683921795784,3
0.003,0.003,6.3031428571428565,6.0,0.014731079055179522,0.04487158057877372,0.038509050568497565,0.012182579155636024,1.0,0.7473171417387598,0.3031428571428565,7.874569499453858,mu0.0_T0.003_s1,0.0,0.6416531483004597,1
0.003,0.003,6.312938775510204,6.0,0.018841151477613415,0.04438653670927572,0.04583753201350701,0.008620912416635413,1.0,0.771965778822277,0.31293877551020444,7.7513517842199775,mu0.0_T0.003_s2,0.0,0.6265970362153995,2
0.003,0.003,6.320122448979592,6.0,0.01624839957463575,0.054963613692660215,0.0458386953269288,0.013707798284986175,1.0,0.7517765035523345,0.32012244897959174,7.733955782522719,mu0.0_T0.003_s3,0.0,0.6389138207976116,3
0.008,0.008,6.175510204081633,6.0,0.015127802806190898,0.037152682187000824,0.0377391327674104,0.011674465959725936,1.0,0.7630995109747145,0.17551020408163343,8.064000550654319,mu0.0_T0.008_s1,0.0,0.6319899248068219,1
0.008,0.008,6.196510204081633,6.0,0.018554882865272553,0.05278846066273104,0.044333085114403654,0.014172932913305116,1.0,0.7382135852949753,0.19651020408163333,7.985741448999641,mu0.0_T0.008_s2,0.0,0.6472709431923692,2
0.008,0.008,6.228673469387756,6.0,0.01924327596121648,0.05704777059086471,0.05062543440896499,0.015419940370756478,1.0,0.7519004811211626,0.2286734693877559,7.795731385206617,mu0.0_T0.008_s3,0.0,0.6388388313516468,3
0.02,0.02,6.004142857142858,6.0,0.02272353722383291,0.05364307256083131,0.049288539793680884,0.01098903090775166,1.0,0.7383054743121923,0.004142857142857892,8.37183386816172,mu0.0_T0.02_s1,0.0,0.6472143710998945,1
0.02,0.02,6.013959183673469,6.0,0.01808703412994956,0.04212339884107532,0.03894532880663615,0.012050184243129543,1.0,0.7324178201878074,0.013959183673469155,8.279095178615162,mu0.0_T0.02_s2,0.0,0.6508640392731688,2
0.02,0.02,5.999734693877551,6.0,0.0171620626475907,0.038950127529545873,0.03525491713917361,0.012794157834759436,1.0,0.7317186147016205,-0.00026530612244890506,8.101092739610914,mu0.0_T0.02_s3,0.0,0.6512966661677999,3
0.0005,0.0005,5.014428571428572,4.57874280996051,0.08937969234989251,0.2026175358279828,0.18239545946876395,0.022180698320399227,0.2893714049802552,0.8820149158646047,0.43568576146806137,6.46290838291355,mu0.15_T0.0005_s1,0.15,0.5624790691508399,1
0.0005,0.0005,5.9915510204081635,4.615392745359845,0.010472789918729191,0.12933283530675121,0.10218378981195357,0.08937280367350617,0.30769637267992245,0.7255968248315915,1.3761582750483186,11.01810619379106,mu0.15_T0.0005_s2,0.15,0.6551088429184314,2
0.0005,0.0005,6.031714285714286,4.513346943883065,0.013644195554470316,0.12330788548175466,0.09800161114397571,0.07667962838933354,0.2566734719415328,0.7347761185039873,1.5183673418312207,10.728850756815035,mu0.15_T0.0005_s3,0.15,0.649411354692761,3
0.001,0.001,5.499163265306122,4.14826346245539,0.04189640313434331,0.1407845559726566,0.12474773369370826,0.030138435359326202,0.07413173122769459,0.8699142933069506,1.3508998028507326,9.913467142334568,mu0.15_T0.001_s1,0.15,0.5692334490288794,1
0.001,0.001,5.502959183673469,4.157537887638087,0.0353870917370836,0.12457316377482267,0.1141692475637411,0.02595501252807087,0.07876894381904341,0.8858739207532943,1.345421296035382,9.507906511409285,mu0.15_T0.001_s2,0.15,0.5602969812518714,2
0.001,0.001,5.444571428571429,4.148612161900705,0.03365942807753544,0.12534720574555697,0.11360574172291484,0.032414278058660345,0.07430608095035263,0.8663818527813091,1.2959592666707236,9.723606290039886,mu0.15_T0.001_s3,0.15,0.5712275773834928,3
0.003,0.003,5.595081632653061,4.167716498606337,0.03565074108028591,0.11837986685226609,0.10453762114838908,0.021945637028436604,0.08385824930316864,0.8398412383288109,1.427365134046724,9.718742918496968,mu0.15_T0.003_s1,0.15,0.5863961743600037,1
0.003,0.003,5.593632653061225,4.184948013999134,0.031116026264998903,0.0957157360549639,0.09220859913709799,0.018839783023071557,0.09247400699956679,0.8471082133977573,1.4086846390620913,9.151830485179959,mu0.15_T0.003_s2,0.15,0.5822117905115811,2
0.003,0.003,5.55761224489796,4.18431735753747,0.026087420189221347,0.08849514064032532,0.09216804975494472,0.022421895003266423,0.09215867876873485,0.8440034115878081,1.3732948873604904,9.364857873212143,mu0.15_T0.003_s3,0.15,0.5839964772215773,3
0.008,0.008,5.812693877551021,4.236692224334776,0.024765102725254454,0.0927367530105904,0.08078729073062463,0.02290747230028545,0.11834611216738791,0.8091660126380872,1.5760016532162444,9.09894047689992,mu0.15_T0.008_s1,0.15,0.6043218660054195,1
0.008,0.008,5.802204081632653,4.248791585291255,0.023185359529285538,0.08045920697130907,0.0748214913012792,0.022376580240463153,0.1243957926456276,0.8137548864572739,1.553412496341398,8.553892195268,mu0.15_T0.008_s2,0.15,0.6016147896164786,2
0.008,0.008,5.7785714285714285,4.247371286021888,0.027643056956640214,0.08058803910116187,0.07356615778144589,0.02152741794747931,0.12368564301094402,0.823022771426827,1.5312001425495403,8.816935780660895,mu0.15_T0.008_s3,0.15,0.5961734697585457,3
0.02,0.02,5.924102040816327,4.373218954624101,0.014687669252426342,0.05516381029649008,0.04974172578593713,0.021031581879477967,0.18660947731205071,0.7721034662592173,1.5508830861922256,8.42034767771165,mu0.15_T0.02_s1,0.15,0.6265124658017047,1
0.02,0.02,6.029040816326531,4.363873550178649,0.020463751239931657,0.0636260028265341,0.053657686821382666,0.014531716315656603,0.18193677508932463,0.7653917430828595,1.6651672661478818,8.347533494682555,mu0.15_T0.02_s2,0.15,0.6305905708120694,2
0.02,0.02,5.92938775510204,4.3763258915345755,0.018886177772019293,0.06558169986132034,0.056290160866823334,0.01725730690872172,0.18816294576728762,0.7727540730213399,1.5530618635674642,8.213711446028858,mu0.15_T0.02_s3,0.15,0.6261182435262803,3
0.0005,0.0005,6.200530612244898,4.716472460817334,0.010760858040145383,0.129761204911985,0.09982978831052303,0.08661585422094162,0.35823623040866703,0.7238241845829155,1.484058151427564,10.811807908947195,mu0.1_T0.0005_s1,0.1,0.6562083132009177,1
0.0005,0.0005,6.26808163265306,4.677788438366151,0.012550975066863822,0.13570939204828902,0.10323956151070504,0.08858441774476257,0.3388942191830756,0.7313783606072658,1.5902931942869092,10.72873246929255,mu0.1_T0.0005_s2,0.1,0.6515105964547168,2
0.0005,0.0005,4.90704081632653,4.731879512195515,0.14839725903890807,0.2655611380386557,0.24076354932023322,0.15040443138868703,0.36593975609775714,0.8398795953056417,0.1751613041310156,8.829343225908309,mu0.1_T0.0005_s3,0.1,0.5869588304615674,3
0.001,0.001,5.765897959183674,4.192171170250167,0.03869005474762038,0.11768047619743768,0.11211289500857775,0.02522678783454707,0.09608558512508333,0.8609145950800379,1.5737267889335067,8.771238729424676,mu0.1_T0.001_s1,0.1,0.5743258258583891,1
0.001,0.001,5.771693877551021,4.192097497031204,0.03098721333308223,0.09585443760118739,0.08763629412304295,0.014536176730300563,0.09604874851560213,0.8284796887177425,1.579596380519817,9.007554949049354,mu0.1_T0.001_s2,0.1,0.5929872300900502,2
0.001,0.001,5.6781428571428565,4.204419274362217,0.02827050460198356,0.09927750433347836,0.09271022274894763,0.0292103867936059,0.10220963718110847,0.8267935316126701,1.4737235827806394,8.803442000778146,mu0.1_T0.001_s3,0.1,0.5939705550153278,3
0.003,0.003,5.904551020408162,4.251467507969198,0.029186337528385238,0.09654776070076466,0.08919733050733765,0.023723091720060867,0.12573375398459918,0.8084257673867918,1.6530835124389638,8.647181329052895,mu0.1_T0.003_s1,0.1,0.6047611373437803,1
