Tgran,Theta,Z,Z_c,a_c,a_c_str,a_c_w,a_c_wk,chi,cv_f,dZ_eff,f_mean,label,mu_g,pr_f,seed
0.001,7.280350466666667e-05,3.9925123456790126,3.0986872753124803,0.03694573699232248,0.12469915925930615,0.11234440497936204,0.03221601996778955,0.09868727531248035,0.7011652449275925,0.8938250703665322,9.268769856754785,mu0.05_T0.001_s1,0.05,0.6704071926739781,1
0.001,9.203140299999999e-05,4.002469135802469,3.113825981312446,0.04422225676665922,0.14843017647228945,0.12353260633512156,0.03453037576869556,0.11382598131244567,0.7077510987179464,0.8886431544900235,9.198132170168055,mu0.05_T0.001_s2,0.05,0.6662620420007412,2
0.001,8.780703966666666e-05,3.989179012345678,3.1017165099349238,0.03403608935747969,0.14647607493373407,0.11926204517684767,0.052587652310173705,0.10171650993492387,0.6992060814644991,0.8874625024107541,9.17619812083101,mu0.05_T0.001_s3,0.05,0.6716418408160008,3
0.003,0.0001936096733333333,4.035537037037037,3.1430695084855627,0.032604642686466435,0.10806386891367047,0.09430007472332787,0.02668841215296863,0.1430695084855628,0.6937854681836215,0.8924675285514745,9.046775394407016,mu0.05_T0.003_s1,0.05,0.6750657580298691,1
0.003,0.00018190938333333335,4.040753086419754,3.139600145345139,0.04031087239006165,0.13867447645913328,0.11228237289293116,0.03608857207838243,0.13960014534513898,0.6811585993511481,0.9011529410746144,9.108966822213441,mu0.05_T0.003_s2,0.05,0.6830712102258795,2
0.003,0.00018787847333333332,4.024660493827161,3.143908907316144,0.029301479882418338,0.11579141235697056,0.09772241471119673,0.037385340769449334,0.14390890731614409,0.6950414390556137,0.8807515865110171,9.126497155170183,mu0.05_T0.003_s3,0.05,0.674272129637566,3
0.008,0.00045695344666666667,4.035456790123457,3.2061752926232816,0.02299339075391404,0.07109258138458376,0.06275275176088091,0.015699791696880492,0.20617529262328158,0.6743492269084443,0.8292814975001757,9.068918006971415,mu0.05_T0.008_s1,0.05,0.6874053441132508,1
0.008,0.0004956268833333333,4.0248333333333335,3.2051680430052443,0.0350416549557074,0.1190039573929228,0.10359536694615909,0.030830755051488197,0.20516804300524444,0.679466591863079,0.8196652903280892,9.097940522097145,mu0.05_T0.008_s2,0.05,0.6841473877248883,2
0.008,0.0004913631066666667,4.045716049382715,3.204836107736707,0.024204888279785283,0.09902397407515548,0.08472274637869645,0.03442610948384721,0.2048361077367069,0.6743087617276761,0.8408799416460084,9.084048547143224,mu0.05_T0.008_s3,0.05,0.6874313248382867,3
0.001,0.00028507783333333334,4.109,4.0,0.031598855048515805,0.08758703907960072,0.07874125512403758,0.014490482796783695,1.0,0.6624760623112349,0.10899999999999999,8.927310498964646,mu0.0_T0.001_s1,0.0,0.6949886689350949,1
0.001,0.0003658920366666667,4.10016049382716,4.0,0.022489024282423158,0.06764989515983301,0.05565543567117735,0.015742309294634133,1.0,0.6823808157623406,0.1001604938271603,8.918684612203949,mu0.0_T0.001_s2,0.0,0.6822949639081568,2
0.001,0.00022786189333333332,4.117950617283951,4.0,0.030627808780006417,0.11425348043944208,0.09768912812242349,0.0333782539946124,1.0,0.6762652484402988,0.11795061728395062,9.021399520201001,mu0.0_T0.001_s3,0.0,0.6861850007115957,3
0.003,0.00059683406,4.063901234567901,4.0,0.02883431037682529,0.10793908839155932,0.08240607821788486,0.03233714890936512,1.0,0.6858765926644818,0.06390123456790064,9.030155167101437,mu0.0_T0.003_s1,0.0,0.6800766384773742,1
0.003,0.00068068822,4.056141975308642,4.0,0.02991310051818129,0.10802740809847731,0.08909415962419118,0.03248400194967213,1.0,0.6834953871432435,0.05614197530864207,9.126972512475056,mu0.0_T0.003_s2,0.0,0.6815881246593387,2
0.003,0.0005072712466666667,4.085413580246914,4.0,0.027786239579189236,0.09718748081699531,0.08732055460238952,0.02615098377421495,1.0,0.6911121282614127,0.08541358024691359,8.960302739217108,mu0.0_T0.003_s3,0.0,0.6767585112504952,3
0.008,0.0012775869,4.016623456790123,4.0,0.030392918162109844,0.09122782978582963,0.08013421027857616,0.01807131684126714,1.0,0.6679853975212715,0.016623456790123115,9.109320565333839,mu0.0_T0.008_s1,0.0,0.6914678443700025,1
0.008,0.001396124,3.998932098765432,4.0,0.03499594825120826,0.10316799262019989,0.08525594908692606,0.018896616816094388,1.0,0.6854306826164127,-0.0010679012345677918,9.2094187164833,mu0.0_T0.008_s2,0.0,0.6803605646869435,2
0.008,0.0012679853333333333,4.015524691358024,4.0,0.025766366526780483,0.055193880638015266,0.05354451577722918,0.010128586480556227,1.0,0.678338800195848,0.015524691358024256,9.026121980723211,mu0.0_T0.008_s3,0.0,0.6848659006651174,3
0.001,8.009873433333332e-05,3.7235432098765435,3.04995441255458,0.0508270470875219,0.2071782210856467,0.173499369457497,0.06805925523017124,0.04995441255457988,0.7347223510468076,0.6735887973219636,9.809687741559927,mu0.15_T0.001_s1,0.15,0.6494285055395983,1
0.001,8.8388165e-05,3.7125925925925922,3.0557684002093612,0.05613517693561975,0.18743954604812849,0.16459724537833254,0.043271139216646236,0.05576840020936147,0.7351777015719048,0.656824192383231,9.619612362418307,mu0.15_T0.001_s2,0.15,0.6491463358888984,2
0.001,7.805130133333333e-05,3.7113024691358025,3.0527359912186647,0.056753631734054386,0.21363935423701044,0.1865111148755187,0.06525898892830909,0.052735991218664506,0.7580434462588028,0.6585664779171378,9.781676324699056,mu0.15_T0.001_s3,0.15,0.6350708200965697,3
0.003,0.00019029707333333333,3.8065555555555552,3.0546862680458835,0.04271770525046888,0.17418067627559164,0.1461383653764484,0.05837528239258948,0.054686268045883404,0.7330068077343179,0.7518692875096717,9.643278496227097,mu0.15_T0.003_s1,0.15,0.6504921302647775,1
0.003,0.00020367477666666668,3.766864197530864,3.0565384428477347,0.04919108159043758,0.18001564595898306,0.15141072807297382,0.04914944359348739,0.056538442847734634,0.7154576013663243,0.7103257546831294,9.450773237792413,mu0.15_T0.003_s2,0.15,0.6614291480866313,2
0.003,0.00020194311666666667,3.7601358024691356,3.058994377094255,0.04702832138229875,0.17635192010997938,0.1571010936010958,0.055849779358254616,0.05899437709425495,0.7209014741885698,0.7011414253748804,9.552241796434885,mu0.15_T0.003_s3,0.15,0.6580260893358143,3
0.008,0.00043405573999999995,3.857037037037037,3.079651931571287,0.04259345168173049,0.14091804002072603,0.12399240924023221,0.03664270083064587,0.07965193157128705,0.7185326310710759,0.7773851054657501,9.395776257260883,mu0.15_T0.008_s1,0.15,0.659506771608835,1
0.008,0.0004814550433333334,3.817543209876544,3.0810443186447967,0.041214612538931945,0.13930043510047158,0.12101648564373996,0.03337944566712972,0.08104431864479653,0.7098918770755502,0.7364988912317472,9.361276840505187,mu0.15_T0.008_s2,0.15,0.6649178035938208,2
0.008,0.00046855108333333334,3.8325,3.078704127653228,0.040892758731790047,0.14891409630925903,0.1319481249193966,0.04267175731260487,0.07870412765322789,0.7188322827674727,0.7537958723467719,9.505405506723108,mu0.15_T0.008_s3,0.15,0.6593184194412639,3
0.001,7.499617866666666e-05,3.8649135802469137,3.064093661528076,0.043119091644854474,0.16188148145448025,0.1356842556098499,0.05100572885451736,0.06409366152807605,0.69981952650463,0.8008199187188376,9.31995086153311,mu0.1_T0.001_s1,0.1,0.671255084132834,1
0.001,7.459383499999999e-05,3.839030864197531,3.0672849327605753,0.048674505385707986,0.18708087296781623,0.1558208902511801,0.05410732214308265,0.06728493276057528,0.7273774899510919,0.7717459314369557,9.63218071012365,mu0.1_T0.001_s2,0.1,0.6539896755763477,2
0.001,7.053408233333333e-05,3.8600370370370363,3.063575471173185,0.04507023972214674,0.17163165399926836,0.14060498718277797,0.05362393359671552,0.06357547117318492,0.7117871543364932,0.7964615658638512,9.35910624690177,mu0.1_T0.001_s3,0.1,0.6637288334282606,3
0.003,0.00019311422333333333,3.8945,3.0810776559718756,0.03562321920634685,0.14125590924115036,0.1134688235067997,0.04828213698725233,0.08107765597187533,0.6936888692756885,0.8134223440281243,9.391926539168471,mu0.1_T0.003_s1,0.1,0.6751266196924224,1
0.003,0.00017619512333333335,3.9230000000000005,3.076838257838681,0.037818934446186045,0.14581673061209652,0.1242896700653126,0.044471719573615606,0.07683825783868088,0.6950568318223573,0.8461617421613195,9.462568686936873,mu0.1_T0.003_s2,0.1,0.6742625870134816,2
0.003,0.00017586322333333333,3.914333333333334,3.0757441268566073,0.03879076740457809,0.1529404017023204,0.1277724944143959,0.05331430380106272,0.07574412685660706,0.6947620858206963,0.8385892064767266,9.50682924490347,mu0.1_T0.003_s3,0.1,0.6744482405070343,3
0.008,0.00047827401666666663,3.942876543209877,3.1164916862016603,0.041052397685420135,0.10493244922831461,0.08680005861326179,0.022613666990742638,0.11649168620166013,0.6775865464739307,0.8263848570082168,9.274848567020484,mu0.1_T0.008_s1,0.1,0.685345289870532,1
0.008,0.0004623123266666667,3.9272283950617286,3.1147116483134574,0.03379805579060203,0.12091104738202801,0.1005103631768326,0.03482783473045402,0.11471164831345716,0.6929552343057395,0.8125167467482712,9.287119655247915,mu0.1_T0.008_s2,0.1,0.6755911154776075,2
0.008,0.00046181292,3.943450617283951,3.1146145330516113,0.03447158112639472,0.12529393624405705,0.10342826005207204,0.03746217203581968,0.11461453305161148,0.6909104821629029,0.8288360842323397,9.31026692785687,mu0.1_T0.008_s3,0.1,0.676886179937231,3
0.001,0.00013449078,3.6025061728395062,3.0460644965150916,0.06941843757359464,0.20618814041638192,0.17687120190882716,0.03928166242979937,0.04606449651509178,0.7495236146090641,0.5564416763244147,9.87319437592162,mu0.2_T0.001_s1,0.2,0.6402935590115317,1
0.001,9.598803033333333e-05,3.591944444444444,3.045713509978842,0.06675032293466378,0.19806500855015297,0.17757561422282875,0.045452574728395735,0.045713509978842014,0.7515956860440198,0.5462309344656022,10.119616077738327,mu0.2_T0.001_s2,0.2,0.6390205998293882,2
0.001,8.462927799999999e-05,3.5889382716049383,3.045777874323005,0.06434649841879111,0.20548835674144275,0.18400923432973368,0.04417061057341754,0.045777874323004945,0.7401987709683825,0.5431603972819334,10.065298801531414,mu0.2_T0.001_s3,0.2,0.6460396329062074,3
0.003,0.0002148199,3.690586419753086,3.046154241208293,0.06248552140052294,0.20624013603966493,0.17047301454623162,0.05560332553472468,0.04615424120829293,0.7349083628835343,0.6444321785447933,9.68883440375359,mu0.2_T0.003_s1,0.2,0.6493134186284076,1
0.003,0.0002107346733333333,3.678135802469135,3.0450410360250193,0.05838883220000729,0.2052573518461994,0.17253148220855397,0.06259631896939559,0.04504103602501911,0.7327105358511048,0.6330947664441156,9.913454014662976,mu0.2_T0.003_s2,0.2,0.6506758172983607,2
0.003,0.00021290593333333333,3.6716358024691362,3.0476186113717976,0.056980948713306216,0.19594154758103155,0.17274637690852626,0.04687351683480361,0.04761861137179767,0.7452960826051712,0.6240171910973387,9.93848331870349,mu0.2_T0.003_s3,0.2,0.642894813524587,3
0.008,0.00048034185666666666,3.7519938271604945,3.062129783778963,0.05902602803497283,0.1781161690251787,0.15427525530723318,0.02963868815873311,0.06212978377896336,0.729324160101372,0.6898640433815313,9.57328725328657,mu0.2_T0.008_s1,0.2,0.6527793206548417,1
0.008,0.00047913162333333334,3.760160493827161,3.0609145246984673,0.04642284298267024,0.16708209573603272,0.14126012802577925,0.04704829516376033,0.060914524698467275,0.7244656530713346,0.6992459691286936,9.68045654807715,mu0.2_T0.008_s2,0.2,0.6558028519896497,2
0.008,0.00047685170999999996,3.764728395061728,3.0596951460969026,0.04483995163228449,0.17758078792011017,0.14477139858688193,0.05734948299259683,0.0596951460969026,0.725436716159453,0.7050332489648254,9.759874897413503,mu0.2_T0.008_s3,0.2,0.6551980367234179,3
0.001,0.00011202116333333333,3.4080493827160496,3.035349439423644,0.06656772439628729,0.2118180768736594,0.1856049999057437,0.04829888849408676,0.035349439423644206,0.7678328428701514,0.3726999432924054,10.429639105908358,mu0.3_T0.001_s1,0.3,0.6291033789039574,1
0.001,0.00010002209966666666,3.4231049382716057,3.0352993953800884,0.0669800372213597,0.22678912982069702,0.20186303318995538,0.056053943852008216,0.03529939538008861,0.7531636008452737,0.38780554289151725,10.479028088514005,mu0.3_T0.001_s2,0.3,0.6380585316275105,2
