Tgran,Theta,Z,Z_c,a_c,a_c_str,a_c_w,a_c_wk,chi,cv_f,dZ_eff,f_mean,label,mu_g,pr_f,seed
0.0005,0.0001122577,3.803,3.9166443476034796,0.032325863588191575,0.11231001030223377,0.09526599871323047,0.03170653529192903,0.9166443476034797,0.6724401342632323,-0.11364434760347963,1.9403893367905578,mu0.001_T0.0005_s1,0.001,0.6886284917071837,1
0.0005,0.00011819562333333333,3.818962962962963,3.913857653156765,0.027617677054062307,0.10743622533723733,0.09069628485821242,0.036694059843813374,0.9138576531567649,0.6681930601387852,-0.0948946901938017,2.0042412077192036,mu0.001_T0.0005_s2,0.001,0.6913360438790086,2
0.0005,0.00014489811333333333,3.8059135802469144,3.9180703209857954,0.040988283536971766,0.12012176517127308,0.10118292486270497,0.026511926556574115,0.9180703209857954,0.6781747789315761,-0.11215674073888104,1.8847227726984943,mu0.001_T0.0005_s3,0.001,0.6849743486927812,3
0.002,0.0004246037,3.6233086419753087,3.9562912818585145,0.032983449751102414,0.08352847367474797,0.0769052400104886,0.013374886338986617,0.9562912818585146,0.6744244694203989,-0.33298263988320587,2.027966084265261,mu0.001_T0.002_s1,0.001,0.6873665576032313,1
0.002,0.00046636918000000005,3.565024691358025,3.9552102663235083,0.03950770572291783,0.09897542790358364,0.08401676078716568,0.01169506160661068,0.955210266323508,0.6859562849923996,-0.39018557496548345,2.0682820775282322,mu0.001_T0.002_s2,0.001,0.6800349452274936,2
0.002,0.0004212014466666667,3.6303827160493825,3.956241272397594,0.0372889942765821,0.08330985366898153,0.07548642807623576,0.014870969654993495,0.956241272397594,0.6932574707279301,-0.3258585563482117,2.030513343465779,mu0.001_T0.002_s3,0.001,0.6754129573239943,3
0.006,0.0011847022666666665,3.2906049382716054,3.9733254867906234,0.044659705163923445,0.08882879052646056,0.08015657458853548,0.017203806592381847,0.9733254867906234,0.7148503332898555,-0.682720548519018,2.2497486260002058,mu0.001_T0.006_s1,0.001,0.6618212313083086,1
0.006,0.0012360816,3.280098765432099,3.972395640863097,0.044401066260533924,0.08333664457074322,0.0752136743632389,0.020494327162081796,0.9723956408630968,0.7127898721265845,-0.6922968754309977,2.2571656011971726,mu0.001_T0.006_s2,0.001,0.6631240680829042,2
0.006,0.0011982494666666667,3.296148148148148,3.972264927966796,0.04203261887459108,0.08134200963401234,0.0766912240859449,0.019111568361835942,0.9722649279667958,0.7139985993299018,-0.6761167798186478,2.270514475794424,mu0.001_T0.006_s3,0.001,0.6623544695818187,3
0.015,0.0030481895333333334,2.884333333333333,3.9801756895559306,0.04152370617858482,0.0691636326343408,0.06517407209730067,0.025513833610897357,0.9801756895559305,0.7549717160667804,-1.0958423562225974,2.6313127318716654,mu0.001_T0.015_s1,0.001,0.6369679732047283,1
