Tgran,Theta,Z,Z_c,a_c,a_c_str,a_c_w,a_c_wk,chi,cv_f,dZ_eff,f_mean,label,mu_g,pr_f,seed
0.001,9.7031713e-05,4.056543209876544,3.0712725111078116,0.04585963821621036,0.22213886910457753,0.18633408643437646,0.08620819615057203,0.07127251110781142,0.7639240161726178,0.9852706987687325,6.557431386740396,E1.0e4_mu0.1_T0.001_s1,0.1,0.6314821736107961,1
0.001,0.00010886850733333335,4.022395061728395,3.0775528944500246,0.058201519140498356,0.2482655025785663,0.20892460344978048,0.08126161031734352,0.07755289445002447,0.7667638294374161,0.9448421672783707,6.434474310406852,E1.0e4_mu0.1_T0.001_s2,0.1,0.6297532829115472,2
0.001,0.00010834449666666665,4.400771604938272,3.0324827143535478,0.027593446181023173,0.21418996239640223,0.15280847251461024,0.13979617538229652,0.03248271435354764,0.6335640996204787,1.368288890584724,10.377418951701946,E1.0e4_mu0.1_T0.001_s3,0.1,0.713570591074825,3
0.003,0.0002407430233333333,4.313382716049383,3.0518892410411205,0.03265783709881324,0.1338392153970594,0.11570672234072545,0.049691099764351536,0.051889241041120665,0.6828956600921048,1.2614934750082627,8.181491239902307,E1.0e4_mu0.1_T0.003_s1,0.1,0.6819672346950509,1
0.003,0.0002530333733333333,4.300567901234567,3.053639181290124,0.03265224317088992,0.1626380057079052,0.12962029519561089,0.06944830117405576,0.05363918129012375,0.6828407199014722,1.2469287199444432,8.24153001246129,E1.0e4_mu0.1_T0.003_s2,0.1,0.6820022569013205,2
0.003,0.00023716840666666665,4.330598765432099,3.052502919925562,0.026300864950556606,0.14820729489943907,0.12048543773502589,0.07031342465245763,0.05250291992556181,0.6773812427680516,1.2780958455065372,8.324776629932483,E1.0e4_mu0.1_T0.003_s3,0.1,0.6854737814672697,3
0.008,0.00063940859,4.3565555555555555,3.079068818082678,0.02938741266582278,0.11505385450028674,0.10414254496011403,0.03919945404118042,0.07906881808267778,0.6829370747562332,1.2774867374728776,8.087989325324644,E1.0e4_mu0.1_T0.008_s1,0.1,0.6819410843156536,1
0.008,0.0006152557233333333,4.361185185185185,3.0810080391550807,0.024075176728380294,0.12102884404933034,0.10228194432286938,0.05697835799519721,0.08100803915508062,0.6788226411777701,1.2801771460301046,8.13190214034007,E1.0e4_mu0.1_T0.008_s2,0.1,0.6845567093108126,2
0.008,0.0005927835933333334,4.411759259259259,3.0750121420084646,0.02267277893480071,0.12243397185904743,0.09498716144725755,0.05821531463990682,0.07501214200846444,0.668861400786205,1.3367471172507948,8.184977789977722,E1.0e4_mu0.1_T0.008_s3,0.1,0.6909060131188066,3
0.001,0.00012099006666666666,3.804870370370371,3.038911372929905,0.03702411708228706,0.1797008814532018,0.15195038942588057,0.0746048045170302,0.03891137292990474,0.7823386809964636,0.7659589974404661,7.6269078028183355,E1.0e4_mu0.3_T0.001_s1,0.3,0.6203292266678231,1
0.001,0.00013674999,3.7944012345679012,3.036652511102428,0.0381024046243726,0.19008012883111203,0.16361946227915514,0.07191828276175408,0.036652511102427884,0.8004738157924911,0.7577487234654732,7.079955377084009,E1.0e4_mu0.3_T0.001_s2,0.3,0.609476138080954,2
0.001,0.00016959715666666668,4.1014938271604935,3.0157152225774864,0.03388516239012459,0.2677060429730787,0.20599534158262453,0.14317072594307118,0.015715222577486466,0.7082893492208752,1.0857786045830071,10.365070472868634,E1.0e4_mu0.3_T0.001_s3,0.3,0.6659238236527231,3
0.003,0.0002932366033333333,3.913469135802469,3.0246186287009227,0.048759569906472754,0.18171243507151472,0.16079403111026044,0.05904580541681272,0.02461862870092267,0.7395792939760131,0.8888505071015462,8.813130155209564,E1.0e4_mu0.3_T0.003_s1,0.3,0.6464228479487273,1
0.003,0.00028062585,3.94062962962963,3.0240618991139776,0.04928674451559219,0.20662512997186577,0.17209517775920907,0.07202374185094232,0.024061899113977478,0.7547625818299553,0.9165677305156525,8.63267333342135,E1.0e4_mu0.3_T0.003_s2,0.3,0.6370784656798069,2
