Tgran,Theta,label,mean_vt,median_vt,mu_g,n_contacts,seed
0.0005,5.710175466666667e-05,mu0.05_T0.0005_s1,0.01206505238793023,0.009782266716900872,0.05,592459,1
0.0005,6.665578033333333e-05,mu0.05_T0.0005_s2,0.012851856656436352,0.01012530472244172,0.05,592423,2
0.0005,6.6230867e-05,mu0.05_T0.0005_s3,0.013621355127542159,0.010772631407070837,0.05,591626,3
0.002,0.0002376463033333333,mu0.05_T0.002_s1,0.02539738379267288,0.020884743825539842,0.05,574752,1
0.002,0.00024093714333333336,mu0.05_T0.002_s2,0.025922454631522398,0.021123554812877927,0.05,574566,2
0.002,0.00024539559,mu0.05_T0.002_s3,0.025607706293718096,0.021037107251980797,0.05,572808,3
0.006,0.0008487237566666667,mu0.05_T0.006_s1,0.04882742994838932,0.040083750439776134,0.05,523885,1
0.006,0.0008441459033333333,mu0.05_T0.006_s2,0.0469394710215721,0.038338929053344364,0.05,531995,2
0.006,0.0008314181,mu0.05_T0.006_s3,0.04823619895027377,0.03961985299395182,0.05,526724,3
0.015,0.0024276925666666667,mu0.05_T0.015_s1,0.08105940787048053,0.06643804919523014,0.05,464442,1
0.015,0.0025055394,mu0.05_T0.015_s2,0.08279049513104465,0.06790336445993218,0.05,455509,2
0.015,0.002456544766666667,mu0.05_T0.015_s3,0.08209453531329688,0.06739144698714215,0.05,459745,3
0.0005,0.00014029839333333334,mu0.0_T0.0005_s1,0.015062688732377793,0.011995813938931184,0.0,596325,1
0.0005,0.00014750733666666664,mu0.0_T0.0005_s2,0.015277542564520012,0.012066044426982928,0.0,594418,2
0.0005,0.0001411369833333333,mu0.0_T0.0005_s3,0.015836756542457343,0.012681732643068242,0.0,589280,3
0.002,0.0003969453166666667,mu0.0_T0.002_s1,0.027964539015071253,0.022709016913722208,0.0,565334,1
0.002,0.00036632274333333334,mu0.0_T0.002_s2,0.027650841616137078,0.02251728303263823,0.0,564187,2
0.002,0.00044638288000000006,mu0.0_T0.002_s3,0.029203888043041953,0.023691581452207074,0.0,570309,3
0.006,0.0012012363333333332,mu0.0_T0.006_s1,0.05006454542003866,0.040707872576003556,0.0,514824,1
0.006,0.0012091425666666666,mu0.0_T0.006_s2,0.05050915813205071,0.0410509973918003,0.0,513393,2
0.006,0.0011783228666666667,mu0.0_T0.006_s3,0.049924390871221094,0.040669444691035915,0.0,513489,3
0.015,0.0030931479000000004,mu0.0_T0.015_s1,0.08325948260630196,0.06798356405918231,0.0,448093,1
0.015,0.0031416195333333337,mu0.0_T0.015_s2,0.08366749317629107,0.06823683063967331,0.0,439761,2
0.015,0.0031506536666666665,mu0.0_T0.015_s3,0.08292760316921009,0.06724641495038122,0.0,446295,3
0.0005,4.8645029333333335e-05,mu0.1_T0.0005_s1,0.011012089483700313,0.008867389280058756,0.1,578808,1
0.0005,5.0003802e-05,mu0.1_T0.0005_s2,0.011353271182236325,0.009204172070175856,0.1,576149,2
0.0005,4.938309499999999e-05,mu0.1_T0.0005_s3,0.011132277876531642,0.009060101164546107,0.1,582750,3
0.002,0.00018725833999999998,mu0.1_T0.002_s1,0.022639181375090883,0.018530143308324518,0.1,571184,1
0.002,0.00019352935000000002,mu0.1_T0.002_s2,0.02289090424395897,0.01868236177281469,0.1,568900,2
0.002,0.00020119064333333332,mu0.1_T0.002_s3,0.02328227249921899,0.019008156909619333,0.1,566235,3
0.006,0.0006603176166666666,mu0.1_T0.006_s1,0.0435641780808453,0.035597381400227904,0.1,535199,1
0.006,0.0006809494633333333,mu0.1_T0.006_s2,0.043825585210245065,0.03576519018962653,0.1,535027,2
0.006,0.0006959953066666666,mu0.1_T0.006_s3,0.043232698060707654,0.03561395624609977,0.1,536930,3
0.015,0.0019999485,mu0.1_T0.015_s1,0.07765340699425914,0.06380497191336823,0.1,474306,1
0.015,0.0020670001333333334,mu0.1_T0.015_s2,0.07761507122632114,0.06351066505712682,0.1,472688,2
0.015,0.0019867725,mu0.1_T0.015_s3,0.07713105329787412,0.06337543344920607,0.1,475182,3
0.0005,6.332676933333332e-05,mu0.3_T0.0005_s1,0.012388305550436695,0.010005544410491934,0.3,512355,1
0.0005,5.949680133333334e-05,mu0.3_T0.0005_s2,0.012314406079944976,0.009941579436360468,0.3,509664,2
0.0005,6.141615833333334e-05,mu0.3_T0.0005_s3,0.012648472588140941,0.010099354328915264,0.3,511673,3
0.002,0.0001814764,mu0.3_T0.002_s1,0.022442862557599412,0.01820156540620832,0.3,534296,1
0.002,0.00017901920000000003,mu0.3_T0.002_s2,0.021857849386207964,0.017800224959759903,0.3,536455,2
0.002,0.00018882600666666666,mu0.3_T0.002_s3,0.022053844292876372,0.01796319043646031,0.3,535051,3
0.006,0.0005308647866666666,mu0.3_T0.006_s1,0.03926019297064864,0.0318892813805937,0.3,527096,1
0.006,0.0005218262599999999,mu0.3_T0.006_s2,0.038391111523185396,0.03120575901847552,0.3,530908,2
0.006,0.00053217769,mu0.3_T0.006_s3,0.0397811169298927,0.03223793267511519,0.3,526685,3
0.015,0.0015348331,mu0.3_T0.015_s1,0.0692940351601747,0.056342109864822125,0.3,480555,1
0.015,0.0015325774666666667,mu0.3_T0.015_s2,0.06954691376139892,0.056216112184581696,0.3,475837,2
0.015,0.0015673963333333334,mu0.3_T0.015_s3,0.06997182935528588,0.05642694151434207,0.3,473405,3
0.0005,0.00010466907666666666,mu1.0_T0.0005_s1,0.017600505923576173,0.013867673332974135,1.0,428309,1
0.0005,0.00011082528666666668,mu1.0_T0.0005_s2,0.01832518389379308,0.0141857727258192,1.0,429524,2
0.0005,9.935864566666668e-05,mu1.0_T0.0005_s3,0.01688655399684033,0.013412271389154455,1.0,434135,3
0.002,0.0002994390033333333,mu1.0_T0.002_s1,0.02892447297446386,0.023115035173217932,1.0,446205,1
0.002,0.0002806318299999999,mu1.0_T0.002_s2,0.02930882685303204,0.023484348278887884,1.0,447466,2
0.002,0.0003115033,mu1.0_T0.002_s3,0.02925759792367804,0.02341768770129494,1.0,449289,3
0.006,0.0006402560266666667,mu1.0_T0.006_s1,0.04499329106591822,0.03629833381174728,1.0,469491,1
0.006,0.0006538924766666667,mu1.0_T0.006_s2,0.0454150108247674,0.03650517402102281,1.0,466543,2
0.006,0.0006594694766666667,mu1.0_T0.006_s3,0.0461084726860809,0.037215883290173835,1.0,465252,3
0.015,0.0015344056000000002,mu1.0_T0.015_s1,0.07228431411415434,0.05822128817071895,1.0,451708,1
0.015,0.0015244264999999997,mu1.0_T0.015_s2,0.07249551589783282,0.05816453505657193,1.0,450366,2
0.015,0.0015919518666666667,mu1.0_T0.015_s3,0.0738781171576504,0.05927545364345232,1.0,441773,3
